UA19CD,UA19NM,LHB19CD,LHB19NM,FID
W06000001,Isle of Anglesey,W11000023,Betsi Cadwaladr University Health Board,1
W06000002,Gwynedd,W11000023,Betsi Cadwaladr University Health Board,2
W06000003,Conwy,W11000023,Betsi Cadwaladr University Health Board,3
W06000004,Denbighshire,W11000023,Betsi Cadwaladr University Health Board,4
W06000005,Flintshire,W11000023,Betsi Cadwaladr University Health Board,5
W06000006,Wrexham,W11000023,Betsi Cadwaladr University Health Board,6
W06000023,Powys,W11000024,Powys Teaching Health Board,7
W06000008,Ceredigion,W11000025,Hywel Dda University Health Board,8
W06000009,Pembrokeshire,W11000025,Hywel Dda University Health Board,9
W06000010,Carmarthenshire,W11000025,Hywel Dda University Health Board,10
W06000018,Caerphilly,W11000028,Aneurin Bevan University Health Board,11
W06000019,Blaenau Gwent,W11000028,Aneurin Bevan University Health Board,12
W06000020,Torfaen,W11000028,Aneurin Bevan University Health Board,13
W06000021,Monmouthshire,W11000028,Aneurin Bevan University Health Board,14
W06000022,Newport,W11000028,Aneurin Bevan University Health Board,15
W06000014,Vale of Glamorgan,W11000029,Cardiff and Vale University Health Board,16
W06000015,Cardiff,W11000029,Cardiff and Vale University Health Board,17
W06000013,Bridgend,W11000030,Cwm Taf Morgannwg University Health Board,18
W06000016,Rhondda Cynon Taf,W11000030,Cwm Taf Morgannwg University Health Board,19
W06000024,Merthyr Tydfil,W11000030,Cwm Taf Morgannwg University Health Board,20
W06000011,Swansea,W11000031,Swansea Bay University Health Board,21
W06000012,Neath Port Talbot,W11000031,Swansea Bay University Health Board,22
