Upper Tier Local Authority District code (2019),Upper Tier Local Authority District name (2019),"Education, Skills and Training - Average rank ","Education, Skills and Training - Rank of average rank ","Education, Skills and Training - Average score ","Education, Skills and Training - Rank of average score ","Education, Skills and Training - Proportion  of LSOAs in most deprived 10% nationally","Education, Skills and Training - Rank of proportion of LSOAs in most deprived 10% nationally"
E06000001,Hartlepool,19980.79,38,30.255,26,0.2069,24
E06000002,Middlesbrough,22111.75,17,38.850,5,0.3953,3
E06000003,Redcar and Cleveland,18997.48,50,27.768,39,0.1932,29
E06000004,Stockton-on-Tees,16899.44,71,24.786,59,0.1667,36
E06000005,Darlington,18401.65,56,27.402,42,0.2000,26
E06000006,Halton,20397.50,33,29.565,28,0.1772,33
E06000007,Warrington,14286.38,108,18.671,88,0.1024,63
E06000008,Blackburn with Darwen,22371.92,14,34.512,17,0.2637,16
E06000009,Blackpool,24559.38,5,38.502,6,0.2553,17
E06000010,"Kingston upon Hull, City of",24831.65,1,41.672,2,0.4157,2
E06000011,East Riding of Yorkshire,14590.27,103,17.434,102,0.0571,84
E06000012,North East Lincolnshire,21954.17,19,35.861,13,0.2925,10
E06000013,North Lincolnshire,20176.24,37,28.419,32,0.1782,32
E06000014,York,12532.77,121,15.698,115,0.0667,78
E06000015,Derby,20418.97,32,33.417,19,0.2715,15
E06000016,Leicester,23631.94,7,37.277,10,0.2969,9
E06000017,Rutland,8232.66,144,7.826,145,0.0000,120
E06000018,Nottingham,23807.38,6,37.510,8,0.3132,7
E06000019,"Herefordshire, County of",16804.13,75,20.465,78,0.0603,82
E06000020,Telford and Wrekin,19425.58,42,27.926,37,0.1944,28
E06000021,Stoke-on-Trent,24769.81,2,38.935,4,0.3208,6
E06000022,Bath and North East Somerset,11553.29,127,14.043,123,0.0609,81
E06000023,"Bristol, City of",18030.07,61,27.137,44,0.1901,30
E06000024,North Somerset,14286.77,107,16.945,109,0.0519,94
E06000025,South Gloucestershire,15758.35,87,18.385,91,0.0364,101
E06000026,Plymouth,19189.22,46,25.623,51,0.1242,55
E06000027,Torbay,20314.64,35,25.498,53,0.0787,74
E06000030,Swindon,18371.34,58,24.621,60,0.1212,56
E06000031,Peterborough,22221.22,16,34.571,16,0.2768,14
E06000032,Luton,21627.92,22,27.432,41,0.0165,109
E06000033,Southend-on-Sea,19087.92,49,25.052,57,0.0841,71
E06000034,Thurrock,22495.05,11,30.002,27,0.0816,73
E06000035,Medway,21197.40,28,28.026,36,0.1104,58
E06000036,Bracknell Forest,14902.95,99,17.048,106,0.0000,120
E06000037,West Berkshire,12347.83,124,13.476,125,0.0103,112
E06000038,Reading,16151.32,81,20.993,74,0.0928,66
E06000039,Slough,17854.57,62,19.963,81,0.0000,120
E06000040,Windsor and Maidenhead,8547.42,141,9.133,140,0.0000,120
E06000041,Wokingham,6139.71,148,6.223,148,0.0000,120
E06000042,Milton Keynes,15626.59,89,19.205,84,0.0592,83
E06000043,Brighton and Hove,14074.03,111,18.639,89,0.0909,69
E06000044,Portsmouth,19910.72,39,27.706,40,0.1680,35
E06000045,Southampton,19391.77,43,26.939,45,0.1622,37
E06000046,Isle of Wight,20902.84,30,26.090,50,0.0562,88
E06000047,County Durham,18898.19,52,24.986,58,0.0926,67
E06000049,Cheshire East,11424.87,128,14.428,121,0.0385,98
E06000050,Cheshire West and Chester,13573.54,115,18.227,94,0.1085,61
E06000051,Shropshire,15168.47,95,17.851,98,0.0570,85
E06000052,Cornwall,16629.06,78,19.031,86,0.0337,102
E06000053,Isles of Scilly,10656.00,134,9.671,138,0.0000,120
E06000054,Wiltshire,14285.74,109,16.990,107,0.0456,96
E06000055,Bedford,15738.36,88,19.050,85,0.0194,108
E06000056,Central Bedfordshire,15077.26,96,17.131,105,0.0382,99
E06000057,Northumberland,16673.14,76,22.596,66,0.1320,48
E06000058,"Bournemouth, Christchurch and Poole",15924.24,86,19.384,82,0.0558,89
E06000059,Dorset,16143.12,82,18.456,90,0.0320,104
E08000001,Bolton,19121.70,48,26.349,48,0.1356,45
E08000002,Bury,15524.98,90,18.863,87,0.0417,97
E08000003,Manchester,20315.57,34,28.119,35,0.1454,42
E08000004,Oldham,22314.79,15,35.509,15,0.2979,8
E08000005,Rochdale,21444.07,24,31.135,23,0.1567,39
