Upper Tier Local Authority District code (2019),Upper Tier Local Authority District name (2019),Employment - Average rank ,Employment - Rank of average rank ,Employment - Average score ,Employment - Rank of average score ,Employment - Proportion  of LSOAs in most deprived 10% nationally ,Employment - Rank of proportion of LSOAs in most deprived 10% nationally ,Employment scale ,Rank of Employment Scale
E06000001,Hartlepool,24902.51,5,0.185,4,0.4310,5,9715.25,129
E06000002,Middlesbrough,25231.38,4,0.191,3,0.4884,2,15542.50,88
E06000003,Redcar and Cleveland,23809.65,13,0.165,8,0.3295,12,12291.00,111
E06000004,Stockton-on-Tees,20104.05,46,0.135,35,0.2083,30,15089.25,90
E06000005,Darlington,20134.54,45,0.128,38,0.1846,41,7637.50,138
E06000006,Halton,23010.08,19,0.158,12,0.3671,8,11496.75,118
E06000007,Warrington,16016.94,87,0.097,79,0.1024,59,11520.25,117
E06000008,Blackburn with Darwen,23750.74,14,0.162,10,0.3297,11,13778.00,101
E06000009,Blackpool,26469.69,2,0.209,1,0.4362,4,16531.50,84
E06000010,"Kingston upon Hull, City of",23632.40,16,0.166,7,0.4277,6,26260.50,33
E06000011,East Riding of Yorkshire,14008.23,110,0.085,102,0.0571,81,15064.25,91
E06000012,North East Lincolnshire,21132.26,35,0.145,23,0.2453,28,13005.25,107
E06000013,North Lincolnshire,19190.90,54,0.109,58,0.0594,78,10362.50,125
E06000014,York,9279.58,139,0.058,139,0.0083,119,7373.75,140
E06000015,Derby,19201.98,53,0.115,51,0.0927,65,17024.00,79
E06000016,Leicester,20136.30,44,0.119,46,0.1510,45,25511.25,35
E06000017,Rutland,7770.15,147,0.049,148,0.0000,133,951.75,149
E06000018,Nottingham,21060.03,36,0.136,34,0.3077,15,28510.00,26
E06000019,"Herefordshire, County of",14542.37,102,0.080,108,0.0172,107,8191.00,137
E06000020,Telford and Wrekin,19582.68,48,0.120,45,0.1852,40,11956.25,114
E06000021,Stoke-on-Trent,23748.23,15,0.152,17,0.3082,14,22338.50,48
E06000022,Bath and North East Somerset,10676.10,135,0.063,134,0.0087,117,6957.50,142
