Upper Tier Local Authority District code (2019),Upper Tier Local Authority District name (2019),IDAOPI - Average rank ,IDAOPI - Rank of average rank ,IDAOPI - Average score ,IDAOPI - Rank of average score ,IDAOPI - Proportion  of LSOAs in most deprived 10% nationally ,IDAOPI - Rank of proportion of LSOAs in most deprived 10% nationally 
E06000001,Hartlepool,21237.10,29,0.228,26,0.2931,15
E06000002,Middlesbrough,20061.41,37,0.233,22,0.3837,11
E06000003,Redcar and Cleveland,16716.82,71,0.168,64,0.1477,47
E06000004,Stockton-on-Tees,15589.56,85,0.160,74,0.1417,50
E06000005,Darlington,15702.96,84,0.152,80,0.0769,68
E06000006,Halton,17828.19,54,0.181,51,0.1266,55
E06000007,Warrington,12840.86,105,0.121,99,0.0394,91
E06000008,Blackburn with Darwen,19619.73,40,0.238,19,0.2857,17
E06000009,Blackpool,22898.47,18,0.231,24,0.2340,24
E06000010,"Kingston upon Hull, City of",23454.27,17,0.257,16,0.3193,14
E06000011,East Riding of Yorkshire,11867.41,117,0.108,118,0.0190,111
E06000012,North East Lincolnshire,17280.70,63,0.170,60,0.1321,53
E06000013,North Lincolnshire,14994.20,89,0.135,90,0.0495,87
E06000014,York,9988.45,136,0.094,135,0.0167,114
E06000015,Derby,16458.96,74,0.168,65,0.1523,44
E06000016,Leicester,24931.78,13,0.298,10,0.3750,12
E06000017,Rutland,6421.14,149,0.064,149,0.0000,139
E06000018,Nottingham,22297.73,22,0.238,20,0.2802,19
E06000019,"Herefordshire, County of",12478.75,111,0.109,117,0.0000,139
E06000020,Telford and Wrekin,17657.02,58,0.166,67,0.0741,70
E06000021,Stoke-on-Trent,19032.86,44,0.184,49,0.1069,59
E06000022,Bath and North East Somerset,10524.23,132,0.096,130,0.0000,139
E06000023,"Bristol, City of",17933.66,53,0.175,53,0.1065,60
E06000024,North Somerset,11067.19,126,0.104,124,0.0370,93
E06000025,South Gloucestershire,9522.40,138,0.087,137,0.0000,139
E06000026,Plymouth,16163.19,78,0.153,78,0.0497,85
E06000027,Torbay,19176.51,42,0.174,54,0.0562,82
E06000030,Swindon,13569.66,99,0.131,94,0.0455,89
E06000031,Peterborough,17175.02,64,0.169,61,0.0982,63
E06000032,Luton,18905.64,45,0.198,41,0.2231,27
E06000033,Southend-on-Sea,16225.31,77,0.153,79,0.0561,83
E06000034,Thurrock,15821.48,81,0.148,83,0.0510,84
E06000035,Medway,14533.04,93,0.133,91,0.0307,97
E06000036,Bracknell Forest,11073.86,125,0.099,127,0.0000,139
E06000037,West Berkshire,7875.59,145,0.076,147,0.0000,139
E06000038,Reading,17133.70,65,0.173,57,0.1443,48
E06000039,Slough,22078.98,24,0.214,34,0.1500,46
E06000040,Windsor and Maidenhead,8234.88,144,0.079,145,0.0112,124
E06000041,Wokingham,5161.67,150,0.056,150,0.0000,139
E06000042,Milton Keynes,14757.08,91,0.131,93,0.0197,110
E06000043,Brighton and Hove,19143.76,43,0.187,48,0.1333,52
E06000044,Portsmouth,17563.41,60,0.171,58,0.1040,61
E06000045,Southampton,18377.41,49,0.173,55,0.0878,64
E06000046,Isle of Wight,15415.99,86,0.132,92,0.0000,139
E06000047,County Durham,18289.93,50,0.170,59,0.0494,88
E06000049,Cheshire East,8847.11,141,0.086,142,0.0043,135
E06000050,Cheshire West and Chester,11738.88,120,0.113,112,0.0283,99
E06000051,Shropshire,13137.26,100,0.113,113,0.0052,131
E06000052,Cornwall,16228.60,76,0.138,89,0.0153,119
E06000053,Isles of Scilly,3656.00,151,0.050,151,0.0000,139
E06000054,Wiltshire,9515.19,139,0.087,139,0.0035,136
E06000055,Bedford,12038.23,116,0.115,106,0.0680,73
E06000056,Central Bedfordshire,9541.68,137,0.087,138,0.0000,139
E06000057,Northumberland,12768.39,106,0.115,105,0.0102,126
E06000058,"Bournemouth, Christchurch and Poole",14204.44,94,0.130,95,0.0429,90
E06000059,Dorset,9509.75,140,0.087,140,0.0046,133
E08000001,Bolton,17719.19,56,0.191,45,0.1864,37
E08000002,Bury,15350.23,87,0.145,85,0.0667,74
E08000003,Manchester,27050.67,5,0.336,5,0.5000,4
E08000004,Oldham,17505.32,61,0.187,47,0.2199,28
E08000005,Rochdale,19185.68,41,0.203,39,0.1866,36
E08000006,Salford,20777.53,33,0.218,30,0.2133,31
E08000007,Stockport,13579.78,98,0.129,97,0.0632,80
E08000008,Tameside,18775.42,46,0.177,52,0.0638,79
E08000009,Trafford,13631.83,97,0.130,96,0.0725,72
E08000010,Wigan,16673.48,72,0.160,73,0.0650,78
E08000011,Knowsley,25203.52,10,0.294,11,0.4184,9
E08000012,Liverpool,25012.19,11,0.300,8,0.4463,7
E08000013,St. Helens,17121.73,66,0.168,63,0.1176,56
E08000014,Sefton,17088.40,67,0.169,62,0.1640,41
E08000015,Wirral,16285.46,75,0.166,66,0.1748,39
