Upper Tier Local Authority District code (2019),Upper Tier Local Authority District name (2019),Living Environment - Average rank ,Living Environment - Rank of average rank ,Living Environment - Average score ,Living Environment - Rank of average score ,Living Environment - Proportion  of LSOAs in most deprived 10% nationally ,Living Environment - Rank of proportion of LSOAs in most deprived 10% nationally 
E06000001,Hartlepool,5359.48,144,6.943,144,0.0000,132
E06000002,Middlesbrough,10453.74,131,12.929,130,0.0000,132
E06000003,Redcar and Cleveland,5891.43,143,7.793,143,0.0114,118
E06000004,Stockton-on-Tees,4538.17,147,6.007,146,0.0000,132
E06000005,Darlington,7148.04,140,8.800,141,0.0000,132
E06000006,Halton,15494.02,89,19.914,83,0.0759,59
E06000007,Warrington,13631.09,107,17.006,108,0.0472,80
E06000008,Blackburn with Darwen,22244.92,38,32.083,31,0.2637,16
E06000009,Blackpool,26050.57,14,39.531,9,0.4043,8
E06000010,"Kingston upon Hull, City of",23974.90,26,34.324,22,0.2892,14
E06000011,East Riding of Yorkshire,13940.83,102,17.541,103,0.0571,72
E06000012,North East Lincolnshire,18586.19,66,26.350,51,0.1792,28
E06000013,North Lincolnshire,13016.76,113,15.331,114,0.0000,132
E06000014,York,14843.97,93,18.292,94,0.0417,82
E06000015,Derby,16361.82,80,21.078,77,0.0728,60
E06000016,Leicester,20368.73,49,25.981,53,0.0833,56
E06000017,Rutland,12874.63,114,15.669,113,0.0000,132
E06000018,Nottingham,22811.70,36,29.791,35,0.1099,44
E06000019,"Herefordshire, County of",23065.62,34,34.710,20,0.3793,9
E06000020,Telford and Wrekin,7721.71,137,9.424,140,0.0093,123
E06000021,Stoke-on-Trent,18180.57,68,23.446,68,0.0881,53
E06000022,Bath and North East Somerset,11269.14,125,13.986,124,0.0087,124
E06000023,"Bristol, City of",18247.66,67,22.596,69,0.0304,95
E06000024,North Somerset,7683.28,138,9.682,138,0.0074,127
E06000025,South Gloucestershire,7386.44,139,9.496,139,0.0242,101
E06000026,Plymouth,19233.78,55,25.786,54,0.1677,30
E06000027,Torbay,16164.72,82,21.199,76,0.1011,46
E06000030,Swindon,11548.37,123,14.221,122,0.0227,105
E06000031,Peterborough,14342.83,97,17.397,105,0.0268,100
E06000032,Luton,17987.15,69,22.093,72,0.0165,111
E06000033,Southend-on-Sea,13950.93,101,17.070,107,0.0000,132
E06000034,Thurrock,13567.69,108,16.481,112,0.0306,94
