Office for National Statistics,,,,,,,,,,Return to contents page,
Crown Copyright 2017,,,,,,,,,,,
Enquiries about these data can be sent by email to: hle@ons.gov.uk,,,,,,,,,,,
,,,,,,,,,,,
UTLA code,Local Authority,Life Expectancy at birth (years),Healthy Life Expectancy at birth (years),Proportion of life in good health (%),ILO employment rate (%)1,ILO unemployment rate (%)2,ILO economically inactive (%)1,Smoking prevalence (%)3,"Alcohol-related admissions (per 100,000)4","Preventable Mortality (deaths per 100,000)5",
,,,,,,,,,,,
Year(s),,2013 to 2015,2013 to 2015,2013 to 2015,2015,2015,2015,2015,2014/15,2013 to 2015,
E06000001,Hartlepool,81.3,55.2,67.8,60.0,7.8,34.8,21.3,551.5,188.8,
E06000002,Middlesbrough,79.8,59.8,75.0,56.3,14.0,34.3,18.5,673.0,222.4,
E06000003,Redcar and Cleveland,81.8,61.5,75.2,67.1,6.3,28.3,17.8,488.5,178.0,
E06000004,Stockton-on-Tees,81.7,62.3,76.2,71.0,6.5,24.1,16.0,640.1,164.3,
E06000005,Darlington,81.9,61.3,74.9,69.0,6.3,26.2,16.3,518.0,154.9,
E06000006,Halton,80.5,59.6,74.0,70.7,3.9,26.3,19.1,570.2,188.8,
E06000007,Warrington,81.8,64.0,78.2,74.0,3.4,23.3,13.1,456.5,162.4,
E06000008,Blackburn with Darwen,80.8,60.3,74.6,57.1,7.9,37.9,17.6,460.5,195.3,
E06000009,Blackpool,79.4,59.0,74.2,70.4,5.1,25.7,25.2,919.7,232.4,
E06000010,"Kingston upon Hull, City of",80.2,55.4,69.1,61.3,8.8,32.6,27.3,593.5,220.5,
E06000011,East Riding of Yorkshire,83.3,65.8,78.9,72.1,4.0,25.0,14.7,434.6,135.4,
E06000012,North East Lincolnshire,82.2,58.0,70.5,64.8,9.4,28.4,21.1,453.7,167.3,
E06000013,North Lincolnshire,82.5,64.4,78.1,66.0,4.2,31.0,18.4,522.4,153.7,
E06000014,York,83.4,65.7,78.7,72.6,5.3,23.3,12.8,492.4,127.2,
E06000015,Derby,82.7,59.6,72.1,67.2,7.3,27.4,18.4,589.5,163.7,
E06000016,Leicester,81.6,60.0,73.5,56.3,8.4,38.4,15.5,476.9,169.6,
E06000017,Rutland,85.2,70.6,82.9,70.0,4.3,27.3,10.5,490.3,123.8,
E06000018,Nottingham,81.4,57.2,70.3,59.8,7.7,35.1,19.7,627.6,187.8,
E06000019,"Herefordshire, County of",83.9,68.2,81.3,72.2,5.1,23.8,16.7,469.2,122.2,
E06000020,Telford and Wrekin,82.0,58.5,71.4,68.4,5.6,27.6,16.6,476.1,155.2,
E06000021,Stoke-on-Trent,81.0,59.6,73.6,62.6,7.9,32.0,18.2,800.2,178.4,
E06000022,Bath and North East Somerset,84.4,66.7,79.1,73.3,4.5,23.2,12.0,426.9,109.3,
E06000023,"Bristol, City of",82.7,64.5,77.9,72.9,2.7,25.1,17.7,575.6,151.6,
E06000024,North Somerset,83.5,66.3,79.4,77.2,3.2,20.4,9.5,576.1,126.4,
E06000025,South Gloucestershire,84.7,65.5,77.3,75.5,3.5,21.7,11.8,514.7,107.5,
E06000026,Plymouth,82.8,60.0,72.5,67.8,8.4,25.9,18.5,507.7,148.2,
E06000027,Torbay,83.3,62.9,75.5,69.1,5.2,26.9,15.2,599.8,123.8,
E06000028,Bournemouth,83.0,65.7,79.1,67.3,2.3,31.0,16.0,567.6,150.7,
E06000029,Poole,83.7,67.4,80.5,71.1,4.7,25.4,13.3,427.1,128.7,
E06000030,Swindon,82.8,61.6,74.4,69.3,4.5,27.4,17.1,530.7,137.0,
E06000031,Peterborough,82.4,62.4,75.7,68.6,5.0,27.7,15.8,477.7,154.3,
E06000032,Luton,82.3,61.3,74.6,59.4,6.1,36.7,12.5,531.5,143.0,
E06000033,Southend-on-Sea,83.0,65.9,79.4,72.0,4.0,24.8,17.6,486.5,144.0,
E06000034,Thurrock,82.6,63.8,77.2,66.7,6.5,28.5,19.1,429.9,140.9,
E06000035,Medway,82.0,59.7,72.8,62.5,9.4,30.9,20.5,274.8,163.6,
E06000036,Bracknell Forest,85.1,69.3,81.4,78.8,2.8,18.9,15.1,329.8,101.1,
E06000037,West Berkshire,84.2,69.8,82.9,78.0,3.5,19.1,10.8,309.7,115.8,
E06000038,Reading,83.2,65.6,78.9,69.8,4.9,26.8,14.8,403.2,140.4,
E06000039,Slough,82.8,57.7,69.8,64.5,5.0,32.1,14.7,369.7,159.2,
E06000040,Windsor and Maidenhead,84.8,69.9,82.5,75.1,3.6,22.1,9.8,361.8,104.5,
E06000041,Wokingham,84.8,70.8,83.4,72.5,3.2,25.0,8.3,280.8,103.1,
E06000042,Milton Keynes,82.9,64.5,77.9,73.6,3.4,23.7,14.6,454.4,134.4,
E06000043,Brighton and Hove,83.5,61.3,73.4,69.9,6.5,25.1,18.6,481.8,147.1,
E06000044,Portsmouth,82.2,61.3,74.5,65.9,6.8,29.1,17.1,394.5,165.7,
E06000045,Southampton,82.9,63.2,76.3,75.0,4.9,21.1,17.7,480.8,168.0,
E06000046,Isle of Wight,83.8,63.0,75.1,69.4,4.4,27.4,16.1,334.9,117.9,
E06000047,County Durham,81.2,57.0,70.1,61.4,8.6,32.7,18.0,597.3,185.0,
E06000049,Cheshire East,83.7,64.7,77.3,68.6,3.5,28.9,11.5,428.9,131.1,
E06000050,Cheshire West and Chester,83.2,66.7,80.1,66.2,6.5,29.1,12.1,412.8,147.4,
E06000051,Shropshire,83.8,65.7,78.3,74.6,3.7,22.5,11.9,454.4,122.3,
E06000052,Cornwall,83.4,64.3,77.1,68.2,5.2,27.8,15.5,567.0,124.9,
E06000054,Wiltshire,84.0,66.8,79.4,74.2,3.5,23.0,13.2,397.1,111.5,
E06000055,Bedford,83.5,62.5,74.8,72.1,3.3,25.4,13.8,376.7,128.2,
E06000056,Central Bedfordshire,83.7,63.1,75.4,73.3,1.9,25.3,15.5,400.7,127.4,
E06000057,Northumberland,82.6,64.2,77.7,70.4,5.0,25.9,14.6,620.3,146.7,
E08000001,Bolton,81.6,59.8,73.4,66.0,5.7,29.9,16.5,476.8,174.1,
E08000002,Bury,81.6,62.1,76.1,65.9,6.0,29.7,17.5,409.9,170.8,
E08000003,Manchester,79.8,55.6,69.7,57.3,8.2,37.6,18.0,540.5,239.7,
E08000004,Oldham,80.7,58.6,72.7,57.2,6.1,39.1,18.1,456.6,211.0,
E08000005,Rochdale,80.7,58.9,73.0,58.9,6.7,36.8,19.7,468.9,219.4,
E08000006,Salford,80.8,59.4,73.5,65.2,7.2,29.7,22.4,679.4,208.8,
E08000007,Stockport,83.0,65.9,79.4,73.0,5.0,23.0,14.2,540.9,153.6,
E08000008,Tameside,80.7,58.8,72.9,67.6,5.7,28.3,20.1,542.2,202.4,
E08000009,Trafford,83.5,65.1,78.0,71.9,5.2,24.2,13.9,425.3,158.4,
E08000010,Wigan,81.2,61.1,75.2,75.1,4.5,21.5,17.6,511.4,171.4,
E08000011,Knowsley,80.4,59.0,73.4,65.1,6.7,30.2,21.4,592.6,226.8,
E08000012,Liverpool,80.4,57.7,71.8,55.3,6.0,41.1,21.6,601.8,207.8,
E08000013,St. Helens,81.2,60.8,74.8,65.5,5.1,30.8,19.2,603.7,169.2,
E08000014,Sefton,82.2,63.0,76.6,71.1,3.4,26.5,12.8,513.8,171.8,
E08000015,Wirral,81.9,61.7,75.3,65.6,3.8,31.7,16.2,556.3,168.5,
E08000016,Barnsley,81.6,57.4,70.3,68.8,5.6,27.1,20.6,603.6,164.7,
