Office for National Statistics,,,,,,,,,,Return to contents page,
Crown Copyright 2017,,,,,,,,,,,
Enquiries about these data can be sent by email to: hle@ons.gov.uk,,,,,,,,,,,
,,,,,,,,,,,
UTLA code,Local Authority,Life Expectancy at birth (years),Healthy Life Expectancy at birth (years),Proportion of life in good health (%),ILO employment rate (%)1,ILO unemployment rate (%)2,ILO economically inactive (%)1,Smoking prevalence (%)3,"Alcohol-related admissions (per 100,000)4","Preventable Mortality (deaths per 100,000)5",
,,,,,,,,,,,
Year(s),,2013 to 2015,2013 to 2015,2013 to 2015,2015,2015,2015,2015,2014/15,2013 to 2015,
E06000001,Hartlepool,76.8,57.0,74.2,68.6,11.7,22.1,24.4,1155.8,303.8,
E06000002,Middlesbrough,76.1,58.8,77.3,70.5,10.2,21.3,23.3,1216.8,328.9,
E06000003,Redcar and Cleveland,78.1,59.1,75.7,68.7,9.7,23.6,16.7,928.9,277.0,
E06000004,Stockton-on-Tees,78.1,61.0,78.1,76.2,7.0,17.9,20.9,999.4,272.1,
E06000005,Darlington,77.9,61.8,79.4,76.1,6.6,18.4,19.6,922.5,271.4,
E06000006,Halton,77.5,60.0,77.5,80.2,5.8,14.9,21.1,1070.3,288.2,
E06000007,Warrington,78.5,65.4,83.3,81.8,5.0,13.8,16.3,932.6,250.7,
E06000008,Blackburn with Darwen,76.5,58.0,75.9,72.5,7.0,21.9,25.0,1149.4,319.5,
E06000009,Blackpool,74.3,56.4,75.9,73.7,8.3,19.6,25.4,1544.0,387.1,
E06000010,"Kingston upon Hull, City of",76.5,56.3,73.6,72.2,8.2,21.4,26.3,1061.9,326.3,
E06000011,East Riding of Yorkshire,80.2,62.9,78.5,80.7,4.8,15.0,16.8,724.4,206.4,
E06000012,North East Lincolnshire,77.9,60.8,78.0,77.4,7.3,16.9,24.6,882.2,303.0,
E06000013,North Lincolnshire,78.7,62.1,78.9,77.3,3.7,19.5,23.5,836.4,263.6,
E06000014,York,80.2,65.9,82.2,80.2,3.3,16.9,16.5,800.1,214.7,
E06000015,Derby,78.0,60.9,78.0,79.2,7.8,14.0,19.0,982.7,278.5,
E06000016,Leicester,77.1,59.1,76.6,69.0,9.7,23.4,24.9,956.5,318.2,
E06000017,Rutland,81.8,71.1,86.9,83.4,4.2,12.7,12.7,746.6,153.5,
E06000018,Nottingham,76.8,56.7,73.9,68.4,10.2,23.7,28.4,1245.8,326.4,
E06000019,"Herefordshire, County of",80.4,67.9,84.4,83.5,2.8,14.1,18.4,599.2,198.7,
E06000020,Telford and Wrekin,78.4,59.5,76.0,78.2,5.7,17.2,19.7,877.8,251.6,
E06000021,Stoke-on-Trent,76.4,60.2,78.8,73.7,7.3,20.4,19.4,1209.1,325.8,
E06000022,Bath and North East Somerset,81.0,65.0,80.3,79.6,3.6,17.2,15.5,669.2,182.3,
E06000023,"Bristol, City of",78.4,59.7,76.2,79.6,7.1,14.2,18.6,990.0,261.8,
E06000024,North Somerset,80.3,66.1,82.3,80.1,4.0,16.3,13.8,755.3,195.4,
E06000025,South Gloucestershire,81.2,66.0,81.3,83.9,2.6,13.7,12.6,737.3,187.2,
E06000026,Plymouth,78.6,59.2,75.3,79.3,4.4,16.9,22.8,847.7,262.3,
E06000027,Torbay,78.9,63.1,80.0,81.2,4.9,14.4,19.0,965.3,240.9,
E06000028,Bournemouth,79.1,62.6,79.1,75.4,3.8,21.5,21.5,929.4,252.0,
E06000029,Poole,80.7,66.2,82.0,83.0,2.4,14.9,19.4,768.0,196.3,
E06000030,Swindon,79.6,64.1,80.5,85.3,4.1,11.2,20.3,834.5,236.3,
E06000031,Peterborough,78.6,61.8,78.6,80.3,5.7,14.7,19.6,900.4,271.6,
E06000032,Luton,78.8,62.1,78.8,76.0,5.9,19.1,19.1,839.0,262.8,
E06000033,Southend-on-Sea,78.5,61.5,78.4,79.2,7.3,14.3,20.1,731.5,258.7,
E06000034,Thurrock,78.9,63.9,81.0,79.0,7.2,14.9,23.7,736.0,243.1,
E06000035,Medway,78.4,61.8,78.8,77.2,8.8,15.2,24.1,612.5,260.0,
E06000036,Bracknell Forest,81.3,68.4,84.1,87.8,2.2,10.4,18.4,602.3,182.9,
E06000037,West Berkshire,81.0,68.7,84.8,88.3,3.2,8.6,17.5,550.2,184.9,
E06000038,Reading,78.7,66.4,84.3,76.4,5.5,19.1,20.6,692.6,252.8,
E06000039,Slough,78.4,60.3,77.0,85.0,4.0,11.4,21.9,899.7,277.0,
E06000040,Windsor and Maidenhead,81.1,69.3,85.4,84.7,4.2,11.5,16.3,626.5,183.7,
E06000041,Wokingham,81.6,70.6,86.6,85.0,2.3,12.9,10.7,493.6,162.5,
E06000042,Milton Keynes,79.1,64.1,81.0,80.5,6.2,14.0,18.4,711.0,242.7,
E06000043,Brighton and Hove,79.3,62.4,78.6,73.2,6.1,21.9,23.1,754.0,254.4,
E06000044,Portsmouth,77.7,61.5,79.1,74.9,4.5,21.5,22.4,820.3,300.3,
E06000045,Southampton,78.3,60.9,77.8,77.5,6.4,17.0,23.0,953.2,297.3,
E06000046,Isle of Wight,79.6,63.2,79.4,75.2,5.1,20.3,16.7,655.8,220.2,
E06000047,County Durham,78.1,58.0,74.4,73.5,6.9,21.0,20.1,911.6,268.7,
E06000049,Cheshire East,80.2,65.5,81.6,81.6,3.4,15.7,13.5,786.0,212.9,
E06000050,Cheshire West and Chester,79.7,65.4,82.1,81.1,2.3,17.2,14.1,739.5,233.0,
E06000051,Shropshire,80.3,64.7,80.6,85.8,4.3,10.0,17.4,745.7,206.0,
E06000052,Cornwall,79.6,64.6,81.2,80.6,5.1,14.8,21.1,904.0,226.7,
E06000054,Wiltshire,80.8,64.8,80.2,84.4,3.2,12.6,15.5,644.8,185.2,
E06000055,Bedford,79.9,65.6,82.1,85.6,7.4,7.3,20.5,717.0,213.6,
E06000056,Central Bedfordshire,81.7,64.7,79.2,85.6,2.8,12.0,18.0,659.2,180.7,
E06000057,Northumberland,79.2,63.9,80.7,77.9,6.1,16.8,18.8,1046.6,244.6,
E08000001,Bolton,78.1,62.4,80.0,74.9,7.7,18.7,20.5,929.8,285.5,
E08000002,Bury,78.0,60.6,77.7,77.3,5.2,18.3,21.3,808.1,274.1,
E08000003,Manchester,75.6,55.6,73.6,68.0,7.9,26.0,27.4,1207.9,409.4,
E08000004,Oldham,77.2,60.3,78.1,72.6,9.7,19.4,26.8,961.0,316.8,
E08000005,Rochdale,77.2,59.2,76.7,70.6,8.2,23.1,24.3,1001.6,307.6,
E08000006,Salford,76.7,58.3,76.0,74.2,9.3,18.0,22.3,1184.2,348.1,
E08000007,Stockport,79.7,65.0,81.5,82.3,6.1,12.1,16.2,960.1,243.9,
E08000008,Tameside,77.3,56.4,73.0,74.4,4.5,22.0,23.5,1116.6,335.4,
E08000009,Trafford,79.9,62.9,78.7,85.9,4.3,10.3,19.1,857.8,230.7,
E08000010,Wigan,77.7,59.3,76.3,79.0,5.7,16.0,19.7,1009.0,271.3,
E08000011,Knowsley,76.8,59.1,77.0,72.7,6.5,22.0,21.5,1177.9,303.3,
E08000012,Liverpool,76.3,57.4,75.3,65.7,9.0,27.7,24.7,1230.9,344.1,
E08000013,St. Helens,77.5,59.4,76.7,73.4,8.4,19.6,21.4,1022.4,295.2,
E08000014,Sefton,78.3,61.2,78.2,75.7,3.8,21.1,16.0,1057.7,273.1,
E08000015,Wirral,77.9,61.1,78.4,74.0,3.8,23.0,21.8,1120.5,272.6,
