Health-related behaviours and healthy life expectancy,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Contents ,,,,,,,,,,,,,,,,,,,,
Female indicators by local authority,,,,,,,,,,,,,,,,,,,,
,Life Expectancy at birth (years),,,,,,,,,,,,,,,,,,,
,Healthy Life Expectancy at birth (years),,,,,,,,,,,,,,,,,,,
,Proportion of life in good health (%),,,,,,,,,,,,,,,,,,,
,ILO employment rate (%),,,,,,,,,,,,,,,,,,,
,ILO unemployment rate (%),,,,,,,,,,,,,,,,,,,
,ILO economically inactive (%),,,,,,,,,,,,,,,,,,,
,Smoking prevalence (%),,,,,,,,,,,,,,,,,,,
,"Alcohol-related admissions (per 100,000)",,,,,,,,,,,,,,,,,,,
,"Preventable Mortality (deaths per 100,000)",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Male indicators by local authority,,,,,,,,,,,,,,,,,,,,
,Life Expectancy at birth (years),,,,,,,,,,,,,,,,,,,
,Healthy Life Expectancy at birth (years),,,,,,,,,,,,,,,,,,,
,Proportion of life in good health (%),,,,,,,,,,,,,,,,,,,
,ILO employment rate (%),,,,,,,,,,,,,,,,,,,
,ILO unemployment rate (%),,,,,,,,,,,,,,,,,,,
,ILO economically inactive (%),,,,,,,,,,,,,,,,,,,
,Smoking prevalence (%),,,,,,,,,,,,,,,,,,,
,"Alcohol-related admissions (per 100,000)",,,,,,,,,,,,,,,,,,,
,"Preventable Mortality (deaths per 100,000)",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Persons indicators by local authority,,,,,,,,,,,,,,,,,,,,
,ILO employment rate (%),,,,,,,,,,,,,,,,,,,
,ILO unemployment rate (%),,,,,,,,,,,,,,,,,,,
,ILO economically inactive (%),,,,,,,,,,,,,,,,,,,
,Smoking prevalence (%),,,,,,,,,,,,,,,,,,,
,Proportion of adults defined as obese (%),,,,,,,,,,,,,,,,,,,
,"Alcohol-related admissions (per 100,000)",,,,,,,,,,,,,,,,,,,
,Physically active adults (%),,,,,,,,,,,,,,,,,,,
,Proportion of adults eating 5-a day (%),,,,,,,,,,,,,,,,,,,
,"Preventable Mortality (deaths per 100,000)",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Overall indicators for England by sex,,,,,,,,,,,,,,,,,,,,
,Life Expectancy at birth (years),,,,,,,,,,,,,,,,,,,
,Healthy Life Expectancy at birth (years),,,,,,,,,,,,,,,,,,,
,ILO employment rate (%),,,,,,,,,,,,,,,,,,,
,ILO unemployment rate (%),,,,,,,,,,,,,,,,,,,
,ILO economically inactive (%),,,,,,,,,,,,,,,,,,,
,Smoking prevalence (%),,,,,,,,,,,,,,,,,,,
,Proportion of adults defined as obese (%),,,,,,,,,,,,,,,,,,,
,"Alcohol-related admissions (per 100,000)",,,,,,,,,,,,,,,,,,,
,Physically active adults (%),,,,,,,,,,,,,,,,,,,
,Proportion of adults eating 5-a day (%),,,,,,,,,,,,,,,,,,,
,"Preventable Mortality (deaths per 100,000)",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,
1. Some indicators are only available by persons and are not broken down into males and females,,,,,,,,,,,,,,,,,,,,
2. Data sources indicate where the data used in this report are published. The publications will have the definitive data source,,,,,,,,,,,,,,,,,,,,
3. Data is presented for 150 of the 152 Upper Tier Local Authorities in England. Isles of Scilly and City of London have been excluded due to small sample numbers. For alcohol related admissions data; City of London has been combined with Hackney and Isles of Scilly has been combined with Cornwall; for Preventable Mortality Isles of Scilly has ben combined with Cornwall  ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Quality and methodology information reports measure the statistical quality of ONS outputs against the five European Statistics System (ESS) quality dimensions to ensure high standards across European countries. They also provide a summary of the methods used in generating these outputs as well as a list of recent publications. A quality and methodology report for Health State Life Expectancies was published in November 2016 and is available on the ONS website.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
www.ons.gov.uk/ons/guide-method/method-quality/quality/quality-information/health-and-social-care/quality-and-methodology-information-health-expectancies.pdf,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Copyright and reproduction ,,,,,,,,,,,,,,,,,,,,
© Crown copyright 2017,,,,,,,,,,,,,,,,,,,,
"You may re-use this information (not including logos) free of charge in any format or medium, under the terms of the Open Government Licence.",,,,,,,,,,,,,,,,,,,,
"To view this licence, go to:",,,,,,,,,,,,,,,,,,,,
www.nationalarchives.gov.uk/doc/open-government-licence,,,,,,,,,,,,,,,,,,,,
"or write to the Information Policy Team, The National Archives, Kew, London TW9 4DU",,,,,,,,,,,,,,,,,,,,
Email: psi@nationalarchives.gsi.gov.uk.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Contact details,,,,,,,,,,,,,,,,,,,,
"Health inequalities analysis team, Health Analysis and Life Events Division",,,,,,,,,,,,,,,,,,,,
Office for National Statistics ,,,,,,,,,,,,,,,,,,,,
Government Buildings ,,,,,,,,,,,,,,,,,,,,
Cardiff Road ,,,,,,,,,,,,,,,,,,,,
Newport ,,,,,,,,,,,,,,,,,,,,
Gwent NP10 8XG ,,,,,,,,,,,,,,,,,,,,
E-mail: hle@ons.gsi.gov.uk,,,,,,,,,,,,,,,,,,,,
