D.1 Compensation of Employees by Local Authority1 ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,£ million
Region,LAU1 code,LA name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
North East,E06000047,County Durham,3241,3518,3679,3915,4135,4272,4411,4641,4771,5023,5185,5274,5277,5510,5559,5661,5856,5890,6052,6106
North East,E06000005,Darlington,656,682,709,732,770,811,847,887,943,1005,1062,1048,1081,1100,1079,1100,1160,1169,1215,1214
North East,E06000001,Hartlepool,625,651,686,710,750,773,809,870,905,965,994,1049,1042,1053,1075,1073,1073,1092,1122,1117
North East,E06000002,Middlesbrough,923,918,976,1027,1088,1097,1128,1177,1226,1304,1343,1353,1339,1380,1377,1441,1489,1550,1552,1551
North East,E06000057,Northumberland,2146,2289,2460,2536,2635,2702,2906,3040,3270,3489,3582,3748,3762,3843,3862,3925,3979,3977,4005,3903
North East,E06000003,Redcar and Cleveland,893,889,941,991,1049,1056,1092,1139,1179,1249,1276,1286,1270,1299,1282,1327,1366,1420,1421,1406
North East,E06000004,Stockton-on-Tees,1268,1338,1428,1493,1586,1647,1730,1854,1931,2056,2114,2223,2214,2242,2283,2283,2283,2332,2398,2386
North East,E08000037,Gateshead,1298,1384,1397,1464,1551,1603,1675,1773,1798,1900,2005,2021,2042,2124,2147,2191,2247,2325,2382,2446
North East,E08000021,Newcastle upon Tyne,1892,2007,2027,2112,2246,2338,2445,2596,2664,2818,2976,2984,3023,3176,3222,3333,3476,3613,3722,3850
North East,E08000022,North Tyneside,1239,1339,1355,1440,1551,1611,1685,1783,1809,1916,2018,2037,2054,2132,2149,2192,2254,2324,2358,2414
North East,E08000023,South Tyneside,995,1067,1082,1137,1218,1254,1299,1366,1376,1444,1512,1516,1524,1575,1581,1615,1655,1702,1729,1769
North East,E08000024,Sunderland,1783,1851,1975,2070,2207,2253,2319,2417,2509,2685,2797,2812,2763,2887,2916,2994,3120,3122,3183,3348
North West,E06000008,Blackburn with Darwen,817,845,871,901,939,951,986,1023,1082,1150,1183,1155,1139,1238,1199,1199,1201,1209,1258,1306
North West,E06000009,Blackpool,825,884,911,941,996,1018,989,1008,1022,1077,1156,1182,1179,1201,1276,1216,1207,1249,1308,1383
North West,E06000049,Cheshire East,2836,2901,3095,3296,3502,3701,4068,4461,4642,4865,5007,5027,4945,5022,5059,5123,5366,5484,5622,5832
North West,E06000050,Cheshire West and Chester,2505,2566,2736,2912,3098,3274,3594,3940,4105,4304,4431,4451,4380,4447,4336,4490,4587,4629,4673,4612
North West,E06000006,Halton,722,766,819,869,937,973,1011,1081,1136,1204,1283,1313,1312,1345,1357,1377,1405,1415,1498,1541
North West,E06000007,Warrington,1503,1596,1717,1794,1937,1991,2058,2218,2296,2467,2647,2677,2588,2699,2804,2921,2960,3007,3110,3305
North West,E07000026,Allerdale,615,680,693,722,801,785,823,850,863,925,992,1020,1036,1072,1082,1120,1169,1198,1262,1328
North West,E07000027,Barrow-in-Furness,470,517,535,556,614,598,621,640,647,688,732,752,765,791,795,817,847,863,908,952
North West,E07000028,Carlisle,677,749,763,800,857,889,982,1086,1138,1182,1232,1217,1247,1293,1275,1304,1375,1368,1390,1431
North West,E07000029,Copeland,467,513,523,544,603,590,617,642,653,701,751,774,784,816,820,847,879,894,937,974
North West,E07000030,Eden,326,365,374,392,422,432,476,520,538,552,573,568,583,605,591,604,633,632,641,658
