B.6g Gross Disposable Household Income by Local Authority1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,£ million
Region,LAU1 code,LA name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
North East,E06000047,County Durham,4605,4757,4904,5184,5365,5448,5535,5817,5939,6139,6301,6460,6713,6905,7005,7283,7445,7618,7959,7942
North East,E06000005,Darlington,956,959,957,1048,1129,1146,1180,1211,1243,1281,1357,1371,1449,1450,1447,1513,1557,1573,1647,1647
North East,E06000001,Hartlepool,806,816,849,891,930,957,966,989,1037,1097,1133,1176,1223,1245,1282,1331,1341,1376,1425,1399
North East,E06000002,Middlesbrough,1287,1250,1308,1380,1437,1434,1437,1494,1555,1620,1645,1677,1778,1782,1830,1957,1980,2055,2113,2100
North East,E06000057,Northumberland,3160,3245,3389,3633,3773,3858,4031,4166,4249,4516,4633,4925,5230,5195,5256,5471,5594,5653,5861,5719
North East,E06000003,Redcar and Cleveland,1276,1253,1292,1384,1448,1454,1486,1530,1568,1621,1630,1660,1745,1738,1765,1872,1888,1947,1999,1969
North East,E06000004,Stockton-on-Tees,1678,1703,1793,1908,2007,2086,2151,2252,2334,2416,2471,2537,2646,2680,2762,2864,2879,2964,3068,3017
North East,E08000037,Gateshead,1777,1835,1825,1931,2017,2070,2121,2205,2230,2304,2386,2431,2570,2619,2669,2807,2855,2896,3052,3062
North East,E08000021,Newcastle upon Tyne,2613,2692,2700,2831,2963,3060,3152,3275,3299,3429,3532,3587,3754,3868,3940,4196,4307,4414,4674,4752
North East,E08000022,North Tyneside,1787,1872,1873,1989,2074,2137,2196,2311,2312,2395,2467,2504,2642,2705,2740,2886,2924,2982,3125,3129
North East,E08000023,South Tyneside,1372,1412,1415,1492,1557,1570,1603,1671,1678,1728,1780,1804,1899,1927,1938,2048,2078,2114,2217,2222
North East,E08000024,Sunderland,2476,2488,2585,2761,2854,2925,2974,3042,3143,3227,3336,3374,3487,3550,3617,3800,3896,3906,4031,4159
North West,E06000008,Blackburn with Darwen,1176,1204,1251,1267,1306,1311,1366,1409,1488,1542,1576,1582,1627,1683,1687,1719,1732,1780,1848,1848
North West,E06000009,Blackpool,1397,1418,1417,1540,1553,1570,1545,1571,1601,1635,1707,1740,1807,1834,1887,1910,1937,1971,2019,2071
North West,E06000049,Cheshire East,4272,4415,4595,4799,4896,5237,5529,5716,5939,6167,6400,6559,6785,6759,6865,7175,7574,7829,8290,8310
North West,E06000050,Cheshire West and Chester,3537,3643,3821,4007,4107,4365,4643,4865,5040,5191,5388,5550,5745,5718,5728,6034,6201,6334,6632,6504
North West,E06000006,Halton,1015,1041,1084,1174,1224,1265,1317,1366,1419,1472,1555,1602,1689,1706,1739,1793,1838,1860,1940,1960
North West,E06000007,Warrington,1971,2050,2134,2329,2446,2499,2567,2704,2765,2886,3054,3092,3169,3202,3289,3498,3543,3671,3963,4049
North West,E07000026,Allerdale,870,919,936,1000,1058,1056,1109,1156,1193,1251,1331,1349,1396,1424,1440,1535,1558,1591,1674,1702
North West,E07000027,Barrow-in-Furness,639,675,687,735,773,773,795,835,851,887,943,962,1001,1017,1028,1078,1088,1110,1171,1194
North West,E07000028,Carlisle,1065,1116,1131,1158,1227,1273,1357,1429,1515,1593,1641,1658,1766,1794,1810,1904,1984,2015,2101,2117
North West,E07000029,Copeland,633,666,674,720,757,753,786,839,856,904,965,983,1018,1045,1060,1115,1128,1142,1201,1217
