Secondary Resources total by Local Authority1 ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,£ million
Region,LAU1 code,LA name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
North East,E06000047,County Durham,1554,1644,1692,1788,1836,1868,1939,2022,2057,2197,2413,2517,2676,2909,2965,3070,3101,3087,3205,3249
North East,E06000005,Darlington,305,323,329,360,401,411,424,440,438,463,509,524,561,592,601,610,629,625,656,669
North East,E06000001,Hartlepool,266,279,286,301,307,330,345,357,365,388,419,428,448,492,512,529,538,535,551,555
North East,E06000002,Middlesbrough,460,481,493,526,539,542,568,595,608,646,694,716,760,803,838,879,880,880,904,915
North East,E06000057,Northumberland,996,1057,1098,1155,1220,1268,1372,1378,1360,1453,1635,1718,1859,2002,2089,2176,2264,2186,2258,2304
North East,E06000003,Redcar and Cleveland,448,469,481,515,531,536,566,596,607,644,688,709,752,789,819,856,855,855,878,883
North East,E06000004,Stockton-on-Tees,528,558,577,612,625,679,711,735,751,800,866,885,931,1024,1066,1104,1122,1124,1161,1172
North East,E08000037,Gateshead,605,634,642,666,689,713,738,770,785,828,899,925,980,1053,1088,1140,1147,1112,1159,1176
North East,E08000021,Newcastle upon Tyne,858,895,900,928,960,994,1026,1068,1097,1155,1253,1282,1357,1467,1515,1605,1638,1597,1671,1705
North East,E08000022,North Tyneside,588,623,632,662,692,718,742,773,790,835,906,934,988,1061,1092,1147,1158,1123,1165,1182
North East,E08000023,South Tyneside,478,503,510,531,551,567,581,601,609,636,686,701,737,787,804,845,850,823,854,866
North East,E08000024,Sunderland,875,910,909,984,1000,1019,1071,1111,1128,1190,1292,1332,1412,1486,1525,1605,1625,1554,1600,1617
North West,E06000008,Blackburn with Darwen,406,423,444,443,458,464,503,531,560,594,619,641,690,724,742,771,770,759,770,769
North West,E06000009,Blackpool,452,462,474,534,569,565,583,607,622,647,702,742,804,846,859,895,902,881,897,896
North West,E06000049,Cheshire East,1040,1095,1144,1230,1320,1383,1477,1515,1574,1704,1852,1930,2075,2225,2309,2459,2561,2498,2610,2680
North West,E06000050,Cheshire West and Chester,917,961,1002,1078,1154,1215,1301,1336,1385,1496,1622,1703,1833,1963,2043,2142,2182,2192,2242,2273
North West,E06000006,Halton,354,359,367,403,431,435,454,479,487,516,568,602,653,682,708,739,748,730,741,740
North West,E06000007,Warrington,499,523,543,622,667,667,695,725,735,786,873,911,986,1036,1065,1137,1118,1121,1165,1183
North West,E07000026,Allerdale,273,285,298,327,340,349,383,406,416,444,487,496,510,543,566,609,599,580,604,615
North West,E07000027,Barrow-in-Furness,208,216,229,252,262,265,287,303,309,327,356,361,369,391,405,433,423,407,423,428
North West,E07000028,Carlisle,300,314,334,335,388,391,426,442,467,507,541,565,609,657,669,705,738,725,754,770
North West,E07000029,Copeland,203,211,221,243,252,257,280,298,306,328,359,365,374,398,414,445,436,420,435,439
North West,E07000030,Eden,143,151,162,164,192,193,211,218,229,246,263,276,299,323,327,344,360,353,367,374
North West,E07000031,South Lakeland,296,313,334,339,394,394,427,439,462,496,528,551,594,639,645,677,708,695,724,738
North West,E08000001,Bolton,697,726,753,796,866,893,944,984,1003,1070,1165,1221,1320,1400,1446,1545,1563,1519,1572,1592
North West,E08000002,Bury,489,506,526,555,600,610,639,664,677,720,782,824,894,943,972,1037,1048,1039,1056,1057
