D.61/D.62 Social contributions/Social benefits paid by Local Authority1 ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,£ million
Region,LAU1 code,LA name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
North East,E06000047,County Durham,1077,1105,1148,1255,1265,1353,1371,1548,1624,1765,1894,1849,1728,1973,1916,1851,1855,1944,1879,1957
North East,E06000005,Darlington,224,224,220,236,218,262,275,292,328,361,384,359,360,405,394,399,406,403,413,416
North East,E06000001,Hartlepool,204,203,207,224,224,236,260,286,312,322,335,353,329,383,361,340,328,349,356,359
North East,E06000002,Middlesbrough,307,304,288,311,333,339,348,401,424,458,493,459,438,496,468,460,475,513,471,492
North East,E06000057,Northumberland,687,721,708,789,815,732,980,1002,1089,1172,1271,1278,1190,1278,1268,1317,1288,1265,1216,1277
North East,E06000003,Redcar and Cleveland,299,296,281,305,329,335,347,402,423,456,489,455,434,488,457,448,461,498,458,475
North East,E06000004,Stockton-on-Tees,403,405,416,455,457,485,536,589,642,664,691,731,684,797,751,708,684,733,752,758
North East,E08000037,Gateshead,431,440,424,463,480,529,562,602,644,685,735,713,709,787,767,755,748,820,777,824
North East,E08000021,Newcastle upon Tyne,612,621,594,646,668,737,781,836,900,955,1025,988,982,1095,1069,1062,1068,1177,1120,1194
North East,E08000022,North Tyneside,419,432,417,460,482,532,565,605,648,691,741,720,715,792,771,759,756,828,781,828
North East,E08000023,South Tyneside,341,350,337,370,384,420,442,471,500,526,561,541,533,588,568,559,555,607,572,607
North East,E08000024,Sunderland,594,572,607,652,708,732,769,844,864,955,1016,994,917,999,986,991,1018,993,1005,1002
North West,E06000008,Blackburn with Darwen,263,267,297,339,320,340,355,386,438,470,506,451,441,529,476,472,469,444,463,491
North West,E06000009,Blackpool,321,323,280,342,388,404,383,362,373,392,447,464,472,504,469,440,425,450,499,502
North West,E06000049,Cheshire East,881,914,918,994,1018,940,1225,1310,1427,1529,1584,1570,1496,1624,1626,1585,1561,1717,1622,1688
North West,E06000050,Cheshire West and Chester,769,802,804,868,893,824,1071,1144,1253,1343,1392,1383,1319,1432,1414,1394,1364,1431,1357,1394
North West,E06000006,Halton,249,248,249,271,291,320,326,368,406,407,444,439,447,471,474,456,469,468,486,495
North West,E06000007,Warrington,479,503,496,535,556,598,619,721,766,793,853,860,835,910,906,901,919,939,904,964
North West,E07000026,Allerdale,212,214,212,221,234,205,269,303,324,337,363,364,341,378,376,367,382,390,393,401
North West,E07000027,Barrow-in-Furness,161,162,163,170,180,156,202,226,241,248,265,265,247,272,269,261,269,274,275,279
North West,E07000028,Carlisle,246,253,246,262,263,244,314,366,391,406,445,418,406,452,438,436,437,431,427,434
North West,E07000029,Copeland,157,158,157,164,173,151,197,223,239,249,268,268,250,277,275,268,278,282,283,286
North West,E07000030,Eden,117,122,119,128,130,120,156,180,192,198,216,205,199,223,214,213,213,210,208,211
North West,E07000031,South Lakeland,243,253,246,265,268,245,315,364,387,397,434,408,396,440,423,418,419,413,410,415
North West,E08000001,Bolton,620,642,656,725,743,793,839,914,940,1012,1061,1042,1001,1124,1092,1074,1063,1112,1084,1126
North West,E08000002,Bury,415,431,442,489,498,532,562,610,627,675,707,688,658,739,715,702,682,713,700,724
North West,E08000003,Manchester,865,890,892,992,1015,1125,1217,1326,1483,1613,1731,1683,1609,1821,1849,1792,1831,1976,1912,2045
