1,"Qatar ","$128,647 ","$61,264 ","752%"
2,"Macao ","$115,367 ","$80,890 ","675%"
3,"Luxembourg ","$107,641 ","$105,280 ","629%"
4,"Singapore ","$94,105 ","$56,746 ","550%"
5,"Brunei ","$79,003 ","$28,572 ","462%"
6,"Ireland ","$76,745 ","$69,727 ","449%"
7,"United Arab Emirates ","$74,035 ","$40,325 ","433%"
8,"Kuwait ","$72,096 ","$29,616 ","422%"
9,"Switzerland ","$66,307 ","$80,296 ","388%"
10,"San Marino ","$63,549 ","$48,495 ","372%"
11,"Norway ","$62,183 ","$75,428 ","364%"
12,"Hong Kong ","$61,671 ","$46,733 ","361%"
13,"United States ","$59,928 ","$59,939 ","350%"
14,"Iceland ","$55,322 ","$73,233 ","324%"
15,"Netherlands ","$54,422 ","$48,796 ","318%"
16,"Denmark ","$54,356 ","$57,545 ","318%"
17,"Saudi Arabia ","$53,893 ","$20,747 ","315%"
18,"Austria ","$53,879 ","$47,261 ","315%"
19,"Germany ","$52,556 ","$44,680 ","307%"
20,"Sweden ","$51,405 ","$54,075 ","301%"
21,"Australia ","$49,378 ","$53,831 ","289%"
22,"Belgium ","$49,367 ","$43,325 ","289%"
23,"Bahrain ","$47,708 ","$23,715 ","279%"
24,"Canada ","$46,510 ","$44,841 ","272%"
25,"Finland ","$46,344 ","$45,778 ","271%"
26,"United Kingdom ","$44,920 ","$39,532 ","263%"
27,"France ","$44,033 ","$39,827 ","258%"
28,"Japan ","$42,067 ","$38,214 ","246%"
29,"Oman ","$41,331 ","$15,170 ","242%"
30,"Italy ","$40,924 ","$32,038 ","239%"
31,"Malta ","$40,797 ","$28,585 ","239%"
32,"New Zealand ","$40,748 ","$43,415 ","238%"
33,"Aruba ","$39,493 ","$25,630 ","231%"
34,"Spain ","$39,037 ","$28,175 ","228%"
35,"Israel ","$38,868 ","$42,852 ","227%"
36,"South Korea ","$38,824 ","$29,958 ","227%"
37,"Czech Republic (Czechia) ","$38,020 ","$20,291 ","222%"
