Upper Tier Local Authority District code (2019),Upper Tier Local Authority District name (2019),Barriers to Housing and Services - Average rank ,Barriers to Housing and Services - Rank of average rank ,Barriers to Housing and Services - Average score ,Barriers to Housing and Services - Rank of average score ,Barriers to Housing and Services - Proportion  of LSOAs in most deprived 10% nationally ,Barriers to Housing and Services - Rank of proportion of LSOAs in most deprived 10% nationally 
E06000001,Hartlepool,9407.74,131,14.242,130,0.0000,117
E06000002,Middlesbrough,9341.76,133,14.183,131,0.0000,117
E06000003,Redcar and Cleveland,9611.85,130,14.139,133,0.0000,117
E06000004,Stockton-on-Tees,11053.82,119,15.870,119,0.0167,95
E06000005,Darlington,7041.46,146,11.942,146,0.0308,81
E06000006,Halton,11677.09,114,16.214,116,0.0000,117
E06000007,Warrington,12659.66,108,17.152,109,0.0000,117
E06000008,Blackburn with Darwen,7292.66,145,12.312,145,0.0000,117
E06000009,Blackpool,6680.23,148,11.804,148,0.0000,117
E06000010,"Kingston upon Hull, City of",16632.80,74,21.108,78,0.0422,72
E06000011,East Riding of Yorkshire,14202.17,92,19.842,87,0.1190,40
E06000012,North East Lincolnshire,8431.98,139,13.386,138,0.0189,94
E06000013,North Lincolnshire,10015.70,129,14.960,128,0.0495,68
E06000014,York,11183.05,117,15.871,118,0.0083,104
E06000015,Derby,15747.45,84,19.864,86,0.0000,117
E06000016,Leicester,11681.60,113,16.433,114,0.0000,117
E06000017,Rutland,16587.75,75,23.583,51,0.2609,17
E06000018,Nottingham,19298.19,41,23.586,50,0.0549,66
E06000019,"Herefordshire, County of",19597.93,38,26.817,31,0.2586,18
E06000020,Telford and Wrekin,15169.87,87,19.797,88,0.0278,86
E06000021,Stoke-on-Trent,10863.12,122,15.555,123,0.0000,117
E06000022,Bath and North East Somerset,11777.70,112,16.763,111,0.0261,87
E06000023,"Bristol, City of",19266.50,42,23.624,49,0.0342,77
E06000024,North Somerset,13627.32,101,18.520,96,0.0370,75
E06000025,South Gloucestershire,14935.42,88,19.871,85,0.0424,71
E06000026,Plymouth,13754.15,98,18.139,101,0.0000,117
E06000027,Torbay,16132.54,79,20.512,84,0.0112,100
E06000030,Swindon,14488.82,91,19.022,92,0.0076,108
E06000031,Peterborough,21809.40,31,26.749,32,0.1339,35
E06000032,Luton,25207.63,21,30.233,22,0.1322,37
E06000033,Southend-on-Sea,13278.73,102,17.644,105,0.0000,117
E06000034,Thurrock,19639.61,37,24.220,47,0.0714,60
E06000035,Medway,14653.81,89,19.252,91,0.0245,89
E06000036,Bracknell Forest,21219.70,33,25.882,33,0.0800,54
E06000037,West Berkshire,15809.39,83,21.001,79,0.0928,50
E06000038,Reading,22569.26,29,27.441,29,0.0928,50
E06000039,Slough,28479.21,8,36.280,8,0.5125,7
E06000040,Windsor and Maidenhead,13976.19,94,18.834,94,0.0225,90
E06000041,Wokingham,17766.01,61,22.581,64,0.0303,83
E06000042,Milton Keynes,24694.55,22,30.625,20,0.1842,23
E06000043,Brighton and Hove,19052.88,47,23.287,56,0.0364,76
E06000044,Portsmouth,16932.78,68,21.275,75,0.0160,97
E06000045,Southampton,15309.49,86,19.667,89,0.0068,111
E06000046,Isle of Wight,13733.00,99,18.731,95,0.0449,70
E06000047,County Durham,9274.15,134,14.094,134,0.0093,102
E06000049,Cheshire East,13981.41,93,19.367,90,0.0726,59
