Upper Tier Local Authority District code (2019),Upper Tier Local Authority District name (2019),Crime - Average rank ,Crime - Rank of average rank ,Crime - Average score ,Crime - Rank of average score ,Crime - Proportion  of LSOAs in most deprived 10% nationally ,Crime - Rank of proportion of LSOAs in most deprived 10% nationally 
E06000001,Hartlepool,22855.72,23,0.566,21,0.3276,12
E06000002,Middlesbrough,23671.36,17,0.701,13,0.4535,3
E06000003,Redcar and Cleveland,18035.47,75,0.138,75,0.1364,45
E06000004,Stockton-on-Tees,14933.36,100,-0.111,98,0.1000,64
E06000005,Darlington,22802.29,26,0.558,22,0.2923,16
E06000006,Halton,19691.22,62,0.272,62,0.1392,44
E06000007,Warrington,14828.34,103,-0.137,105,0.0472,90
E06000008,Blackburn with Darwen,21336.20,46,0.409,43,0.1648,37
E06000009,Blackpool,24196.98,14,0.815,7,0.3617,8
E06000010,"Kingston upon Hull, City of",25816.06,6,0.841,6,0.3373,11
E06000011,East Riding of Yorkshire,10256.91,130,-0.542,131,0.0429,94
E06000012,North East Lincolnshire,20941.56,49,0.484,33,0.3679,7
E06000013,North Lincolnshire,17341.69,83,0.111,78,0.1287,52
E06000014,York,8006.47,143,-0.816,146,0.0000,138
E06000015,Derby,15492.88,92,-0.105,96,0.0331,108
E06000016,Leicester,22146.30,35,0.484,32,0.2240,27
E06000017,Rutland,3559.10,150,-1.205,150,0.0000,138
E06000018,Nottingham,22092.52,36,0.438,39,0.1538,39
E06000019,"Herefordshire, County of",9163.62,137,-0.612,135,0.0000,138
E06000020,Telford and Wrekin,18532.64,73,0.190,72,0.1296,51
E06000021,Stoke-on-Trent,22608.27,30,0.504,30,0.2201,28
E06000022,Bath and North East Somerset,13055.50,119,-0.279,119,0.0087,130
E06000023,"Bristol, City of",25522.93,7,0.756,8,0.3080,15
E06000024,North Somerset,14037.32,111,-0.164,110,0.0667,76
E06000025,South Gloucestershire,13566.69,115,-0.222,115,0.0121,123
E06000026,Plymouth,16113.51,86,-0.051,88,0.0994,65
E06000027,Torbay,16344.95,85,0.028,84,0.1124,56
E06000030,Swindon,18875.41,69,0.209,67,0.1515,40
E06000031,Peterborough,22746.52,28,0.523,26,0.2768,17
E06000032,Luton,21514.19,43,0.392,47,0.0496,88
E06000033,Southend-on-Sea,18668.61,71,0.203,68,0.0748,73
E06000034,Thurrock,19973.97,61,0.284,59,0.1122,57
E06000035,Medway,22630.51,29,0.555,23,0.2270,26
E06000036,Bracknell Forest,6719.35,146,-0.856,147,0.0000,138
E06000037,West Berkshire,8333.28,140,-0.665,138,0.0000,138
E06000038,Reading,17778.12,78,0.092,80,0.0619,81
E06000039,Slough,21892.70,40,0.412,42,0.0875,69
E06000040,Windsor and Maidenhead,10325.37,129,-0.478,129,0.0000,138
E06000041,Wokingham,5309.27,149,-0.981,149,0.0000,138
E06000042,Milton Keynes,14700.06,106,-0.137,104,0.0197,116
E06000043,Brighton and Hove,15058.96,97,-0.066,92,0.0667,76
E06000044,Portsmouth,23830.88,16,0.652,16,0.2640,19
E06000045,Southampton,26616.97,3,0.881,4,0.3986,5
E06000046,Isle of Wight,13865.10,112,-0.200,112,0.0112,125
E06000047,County Durham,19540.73,63,0.260,63,0.1451,43
E06000049,Cheshire East,11811.86,127,-0.382,127,0.0385,102
E06000050,Cheshire West and Chester,12973.78,120,-0.284,120,0.0283,110
E06000051,Shropshire,9485.40,134,-0.576,134,0.0000,138
E06000052,Cornwall,8140.28,141,-0.713,140,0.0061,133
E06000053,Isles of Scilly,5765.00,148,-0.778,145,0.0000,138
E06000054,Wiltshire,9875.94,132,-0.532,130,0.0070,132
E06000055,Bedford,15145.33,96,-0.116,100,0.0388,101
E06000056,Central Bedfordshire,13370.22,117,-0.235,116,0.0510,87
E06000057,Northumberland,14838.02,102,-0.139,107,0.1320,48
E06000058,"Bournemouth, Christchurch and Poole",15058.29,98,-0.108,97,0.0515,86
E06000059,Dorset,7834.92,144,-0.719,141,0.0091,129
E08000001,Bolton,24179.61,15,0.710,11,0.3390,10
E08000002,Bury,21587.76,42,0.419,41,0.1333,47
E08000003,Manchester,29143.59,1,1.206,1,0.6135,1
E08000004,Oldham,26035.36,5,0.863,5,0.3759,6
E08000005,Rochdale,27308.41,2,0.936,2,0.4179,4
E08000006,Salford,24368.71,12,0.686,14,0.3133,14
E08000007,Stockport,20734.92,53,0.337,53,0.1316,49
E08000008,Tameside,25282.55,9,0.721,10,0.2695,18
E08000009,Trafford,15617.37,91,-0.052,90,0.0217,114
E08000010,Wigan,20732.80,54,0.386,48,0.2100,31
E08000011,Knowsley,19403.49,65,0.220,66,0.0408,99
E08000012,Liverpool,23448.06,19,0.591,19,0.2416,21
E08000013,St. Helens,18932.66,68,0.201,69,0.1008,63
E08000014,Sefton,15157.33,95,-0.080,95,0.0847,70
E08000015,Wirral,15864.22,88,-0.053,91,0.1068,62
E08000016,Barnsley,22772.30,27,0.514,27,0.2177,29
E08000017,Doncaster,24446.90,10,0.703,12,0.3247,13
E08000018,Rotherham,21961.10,39,0.449,38,0.1856,34
E08000019,Sheffield,20834.75,50,0.380,49,0.1971,32
E08000021,Newcastle upon Tyne,21490.68,44,0.461,36,0.2400,22
E08000022,North Tyneside,17969.27,77,0.157,74,0.1145,54
E08000023,South Tyneside,20670.52,56,0.333,55,0.1078,61
E08000024,Sunderland,21174.53,47,0.409,44,0.1784,35
E08000025,Birmingham,20802.84,51,0.335,54,0.1111,58
E08000026,Coventry,17482.19,81,0.068,82,0.0410,98
E08000027,Dudley,14958.02,99,-0.131,103,0.0100,128
E08000028,Sandwell,20248.91,59,0.277,61,0.0269,111
E08000029,Solihull,14762.94,104,-0.138,106,0.0448,92
E08000030,Walsall,18832.16,70,0.171,73,0.0599,82
E08000031,Wolverhampton,17506.54,80,0.066,83,0.0316,109
E08000032,Bradford,26147.66,4,0.919,3,0.4677,2
E08000033,Calderdale,23277.21,21,0.573,20,0.2344,24
E08000034,Kirklees,22215.03,34,0.483,34,0.1776,36
E08000035,Leeds,23334.60,20,0.666,15,0.3465,9
E08000036,Wakefield,22522.64,31,0.514,28,0.2392,23
E08000037,Gateshead,20698.20,55,0.357,51,0.1905,33
E09000001,City of London,1234.77,151,-1.656,151,0.0000,138
E09000002,Barking and Dagenham,23668.31,18,0.542,24,0.1455,42
E09000003,Barnet,17479.54,82,0.082,81,0.0237,112
E09000004,Bexley,14596.54,108,-0.130,102,0.0205,115
E09000005,Brent,21996.41,37,0.428,40,0.1156,53
E09000006,Bromley,15906.40,87,-0.038,86,0.0558,84
E09000007,Camden,20400.70,57,0.325,57,0.1128,55
E09000008,Croydon,20068.76,60,0.280,60,0.0545,85
E09000009,Ealing,19489.68,64,0.239,64,0.0765,72
E09000010,Enfield,19084.38,67,0.199,70,0.0383,103
E09000011,Greenwich,22514.66,32,0.457,37,0.0927,68
E09000012,Hackney,24250.45,13,0.621,17,0.2292,25
E09000013,Hammersmith and Fulham,21048.91,48,0.340,52,0.0619,80
E09000014,Haringey,25422.81,8,0.732,9,0.2552,20
E09000015,Harrow,14342.34,109,-0.143,108,0.0000,138
E09000016,Havering,18056.27,74,0.130,76,0.0400,100
E09000017,Hillingdon,19392.72,66,0.235,65,0.0683,75
E09000018,Hounslow,21438.87,45,0.373,50,0.0845,71
E09000019,Islington,24433.60,11,0.607,18,0.1545,38
E09000020,Kensington and Chelsea,20751.84,52,0.331,56,0.0971,66
E09000021,Kingston upon Thames,11848.62,126,-0.332,125,0.0000,138
E09000022,Lambeth,23226.80,22,0.532,25,0.1348,46
E09000023,Lewisham,21786.68,41,0.402,46,0.0651,78
E09000024,Merton,15738.49,89,-0.051,87,0.0161,119
E09000025,Newham,22834.54,25,0.497,31,0.1098,59
E09000026,Redbridge,20354.91,58,0.295,58,0.0559,83
E09000027,Richmond upon Thames,15404.28,93,-0.070,94,0.0087,130
E09000028,Southwark,22487.67,33,0.475,35,0.1506,41
E09000029,Sutton,14074.43,110,-0.174,111,0.0000,138
E09000030,Tower Hamlets,22835.70,24,0.509,29,0.2153,30
E09000031,Waltham Forest,21961.66,38,0.406,45,0.0417,96
E09000032,Wandsworth,17975.90,76,0.118,77,0.0335,107
E09000033,Westminster,17774.94,79,0.105,79,0.0703,74
E10000002,Buckinghamshire,9615.20,133,-0.573,133,0.0000,138
E10000003,Cambridgeshire,12293.28,124,-0.318,124,0.0160,121
E10000006,Cumbria,9282.71,135,-0.725,142,0.0218,113
E10000007,Derbyshire,8029.41,142,-0.711,139,0.0041,134
E10000008,Devon,7535.22,145,-0.774,144,0.0022,136
E10000011,East Sussex,12526.81,122,-0.312,122,0.0426,95
E10000012,Essex,15384.45,94,-0.069,93,0.0631,79
E10000013,Gloucestershire,9110.87,138,-0.644,137,0.0161,120
E10000014,Hampshire,13567.33,114,-0.235,117,0.0337,106
E10000015,Hertfordshire,14610.37,107,-0.145,109,0.0188,117
E10000016,Kent,18619.49,72,0.196,71,0.1308,50
E10000017,Lancashire,15656.84,90,-0.051,89,0.1085,60
E10000018,Leicestershire,12307.25,123,-0.316,123,0.0101,127
E10000019,Lincolnshire,8485.41,139,-0.738,143,0.0167,118
E10000020,Norfolk,9980.52,131,-0.569,132,0.0372,105
E10000021,Northamptonshire,16492.42,84,0.014,85,0.0948,67
E10000023,North Yorkshire,6299.04,147,-0.974,148,0.0107,126
E10000024,Nottinghamshire,13792.07,113,-0.204,113,0.0382,104
E10000025,Oxfordshire,9264.61,136,-0.629,136,0.0147,122
E10000027,Somerset,13460.57,116,-0.220,114,0.0459,91
E10000028,Staffordshire,12152.81,125,-0.346,126,0.0038,135
E10000029,Suffolk,13218.57,118,-0.263,118,0.0476,89
E10000030,Surrey,12620.00,121,-0.301,121,0.0014,137
E10000031,Warwickshire,14876.76,101,-0.115,99,0.0413,97
E10000032,West Sussex,10924.44,128,-0.438,128,0.0119,124
E10000034,Worcestershire,14728.06,105,-0.129,101,0.0440,93
