Upper Tier Local Authority District code (2019),Upper Tier Local Authority District name (2019),Health Deprivation and Disability - Average rank ,Health Deprivation and Disability - Rank of average rank ,Health Deprivation and Disability - Average score ,Health Deprivation and Disability - Rank of average score ,Health Deprivation and Disability - Proportion  of LSOAs in most deprived 10% nationally ,Health Deprivation and Disability - Rank of proportion of LSOAs in most deprived 10% nationally 
E06000001,Hartlepool,25806.04,17,0.869,12,0.3621,13
E06000002,Middlesbrough,27603.83,6,1.194,5,0.5698,4
E06000003,Redcar and Cleveland,25339.55,22,0.790,23,0.3523,15
E06000004,Stockton-on-Tees,23468.75,34,0.684,27,0.2833,24
E06000005,Darlington,22510.99,42,0.532,40,0.2462,27
E06000006,Halton,26124.67,13,0.930,11,0.4557,7
E06000007,Warrington,19607.66,60,0.278,57,0.1260,50
E06000008,Blackburn with Darwen,27069.88,8,1.049,7,0.5055,6
E06000009,Blackpool,30541.27,1,1.643,1,0.6702,1
E06000010,"Kingston upon Hull, City of",25788.25,19,0.853,16,0.3916,12
E06000011,East Riding of Yorkshire,11412.01,117,-0.390,115,0.0333,83
E06000012,North East Lincolnshire,20706.58,51,0.380,49,0.1509,45
E06000013,North Lincolnshire,19260.29,63,0.233,61,0.1089,54
E06000014,York,12526.93,106,-0.316,108,0.0083,105
E06000015,Derby,22566.67,41,0.526,41,0.1854,36
E06000016,Leicester,23401.56,35,0.594,35,0.2083,32
E06000017,Rutland,4403.93,148,-1.048,145,0.0000,116
E06000018,Nottingham,26350.87,10,0.861,14,0.3022,20
E06000019,"Herefordshire, County of",12386.52,108,-0.312,106,0.0000,116
E06000020,Telford and Wrekin,21956.77,43,0.446,44,0.1667,41
E06000021,Stoke-on-Trent,27741.30,5,1.037,8,0.4277,9
E06000022,Bath and North East Somerset,8769.40,131,-0.668,130,0.0087,104
E06000023,"Bristol, City of",20208.43,54,0.322,53,0.1293,48
E06000024,North Somerset,12936.88,105,-0.263,103,0.0519,73
E06000025,South Gloucestershire,6975.99,138,-0.813,136,0.0000,116
E06000026,Plymouth,24155.21,30,0.666,29,0.2298,29
E06000027,Torbay,22765.84,40,0.504,42,0.1236,51
E06000030,Swindon,16380.30,81,0.007,79,0.0606,70
E06000031,Peterborough,21706.05,44,0.413,48,0.0804,64
E06000032,Luton,20272.49,53,0.294,55,0.0496,75
E06000033,Southend-on-Sea,17092.30,78,0.062,77,0.1028,59
E06000034,Thurrock,13470.60,99,-0.234,98,0.0000,116
E06000035,Medway,17468.65,73,0.075,74,0.0429,76
E06000036,Bracknell Forest,6581.54,140,-0.907,140,0.0000,116
E06000037,West Berkshire,6177.08,142,-0.888,138,0.0000,116
E06000038,Reading,16318.04,82,-0.034,84,0.0103,100
E06000039,Slough,18598.31,65,0.147,69,0.0125,98
E06000040,Windsor and Maidenhead,5594.08,143,-1.033,143,0.0000,116
E06000041,Wokingham,2117.39,150,-1.545,150,0.0000,116
E06000042,Milton Keynes,14430.96,93,-0.158,92,0.0263,88
E06000043,Brighton and Hove,17220.91,75,0.097,71,0.1030,58
E06000044,Portsmouth,19649.46,58,0.270,59,0.1040,56
E06000045,Southampton,23108.41,38,0.541,38,0.1554,42
E06000046,Isle of Wight,17747.70,71,0.084,73,0.0000,116
E06000047,County Durham,24772.63,25,0.710,25,0.2531,26
E06000049,Cheshire East,14115.07,96,-0.186,96,0.0385,79
E06000050,Cheshire West and Chester,17298.04,74,0.089,72,0.1038,57
E06000051,Shropshire,11956.84,113,-0.348,112,0.0000,116
E06000052,Cornwall,17153.84,76,0.054,78,0.0337,82
E06000053,Isles of Scilly,29.00,151,-2.625,151,0.0000,116
E06000054,Wiltshire,9250.61,128,-0.587,126,0.0000,116
E06000055,Bedford,14774.97,91,-0.119,90,0.0680,67
E06000056,Central Bedfordshire,7926.04,133,-0.712,132,0.0000,116
E06000057,Northumberland,18499.18,68,0.189,65,0.0863,62
E06000058,"Bournemouth, Christchurch and Poole",16022.31,86,-0.039,85,0.0343,81
E06000059,Dorset,12132.37,111,-0.346,111,0.0411,77
E08000001,Bolton,23322.94,36,0.589,36,0.1921,35
E08000002,Bury,20119.93,57,0.308,54,0.1083,55
E08000003,Manchester,28758.54,4,1.198,4,0.5213,5
E08000004,Oldham,24126.59,31,0.663,31,0.2411,28
E08000005,Rochdale,26006.26,14,0.842,17,0.2761,25
E08000006,Salford,26873.36,9,0.995,9,0.4400,8
E08000007,Stockport,20158.46,55,0.355,52,0.1211,52
E08000008,Tameside,26174.92,12,0.855,15,0.2979,21
E08000009,Trafford,15494.09,88,-0.072,88,0.0507,74
E08000010,Wigan,23500.93,33,0.618,33,0.2150,31
E08000011,Knowsley,29470.45,2,1.381,2,0.6122,3
E08000012,Liverpool,28926.79,3,1.347,3,0.6577,2
E08000013,St. Helens,27484.34,7,1.069,6,0.4202,10
E08000014,Sefton,24439.42,28,0.750,24,0.2910,23
E08000015,Wirral,25722.27,21,0.962,10,0.3495,16
E08000016,Barnsley,25989.90,15,0.839,18,0.3469,17
E08000017,Doncaster,24442.40,27,0.665,30,0.2010,34
E08000018,Rotherham,25795.63,18,0.817,21,0.2934,22
E08000019,Sheffield,21690.13,45,0.456,43,0.2058,33
E08000021,Newcastle upon Tyne,24938.33,24,0.815,22,0.3600,14
E08000022,North Tyneside,21537.80,47,0.430,45,0.1527,44
E08000023,South Tyneside,26265.39,11,0.863,13,0.4020,11
E08000024,Sunderland,25930.73,16,0.828,19,0.3297,19
E08000025,Birmingham,24549.59,26,0.670,28,0.2160,30
E08000026,Coventry,20829.58,50,0.367,51,0.1282,49
E08000027,Dudley,20158.24,56,0.287,56,0.0647,68
E08000028,Sandwell,25222.28,23,0.705,26,0.1344,47
E08000029,Solihull,13303.28,102,-0.256,102,0.0597,71
E08000030,Walsall,23275.87,37,0.562,37,0.1377,46
E08000031,Wolverhampton,24179.88,29,0.607,34,0.0949,60
E08000032,Bradford,23957.61,32,0.632,32,0.1806,38
E08000033,Calderdale,19614.56,59,0.264,60,0.1094,53
E08000034,Kirklees,18537.40,66,0.166,66,0.0541,72
E08000035,Leeds,21172.89,49,0.415,47,0.1743,40
E08000036,Wakefield,22990.82,39,0.539,39,0.1531,43
E08000037,Gateshead,25722.68,20,0.824,20,0.3333,18
E09000001,City of London,8758.28,132,-0.686,131,0.0000,116
E09000002,Barking and Dagenham,19499.67,61,0.204,63,0.0091,101
E09000003,Barnet,5011.83,146,-1.074,146,0.0000,116
E09000004,Bexley,9446.18,126,-0.561,124,0.0000,116
E09000005,Brent,10642.83,120,-0.453,119,0.0000,116
E09000006,Bromley,6522.48,141,-0.908,141,0.0000,116
E09000007,Camden,10894.25,119,-0.556,123,0.0000,116
E09000008,Croydon,14352.64,95,-0.174,95,0.0045,115
E09000009,Ealing,12374.12,109,-0.326,109,0.0000,116
E09000010,Enfield,9915.35,123,-0.535,121,0.0000,116
E09000011,Greenwich,16405.44,80,-0.021,81,0.0066,110
E09000012,Hackney,21637.86,46,0.371,50,0.0208,91
E09000013,Hammersmith and Fulham,16097.84,84,-0.050,86,0.0088,102
E09000014,Haringey,15019.95,90,-0.128,91,0.0069,109
E09000015,Harrow,4759.98,147,-1.040,144,0.0000,116
E09000016,Havering,9832.92,124,-0.538,122,0.0000,116
E09000017,Hillingdon,11646.64,116,-0.379,113,0.0000,116
E09000018,Hounslow,12989.84,104,-0.270,104,0.0000,116
E09000019,Islington,20276.46,52,0.274,58,0.0081,106
E09000020,Kensington and Chelsea,6985.20,137,-1.243,148,0.0000,116
E09000021,Kingston upon Thames,5470.76,144,-0.963,142,0.0000,116
E09000022,Lambeth,18598.80,64,0.148,68,0.0225,90
E09000023,Lewisham,17636.21,72,0.067,76,0.0059,113
E09000024,Merton,9260.79,127,-0.615,128,0.0000,116
E09000025,Newham,16231.92,83,-0.030,83,0.0061,111
E09000026,Redbridge,7444.13,136,-0.740,133,0.0000,116
E09000027,Richmond upon Thames,3290.64,149,-1.373,149,0.0000,116
E09000028,Southwark,18240.14,69,0.112,70,0.0120,99
E09000029,Sutton,9551.49,125,-0.570,125,0.0000,116
E09000030,Tower Hamlets,19333.30,62,0.195,64,0.0139,96
E09000031,Waltham Forest,14437.26,92,-0.161,94,0.0000,116
E09000032,Wandsworth,11755.78,115,-0.388,114,0.0000,116
E09000033,Westminster,9103.58,130,-0.855,137,0.0078,107
E10000002,Buckinghamshire,5151.18,145,-1.096,147,0.0000,116
E10000003,Cambridgeshire,9970.19,122,-0.595,127,0.0160,92
E10000006,Cumbria,18508.22,67,0.223,62,0.1776,39
E10000007,Derbyshire,18093.18,70,0.148,67,0.0916,61
E10000008,Devon,12515.45,107,-0.315,107,0.0153,94
E10000011,East Sussex,13596.86,98,-0.254,101,0.0395,78
