Upper Tier Local Authority District code (2019),Upper Tier Local Authority District name (2019),Income - Average rank ,Income - Rank of average rank ,Income - Average score ,Income - Rank of average score ,Income - Proportion  of LSOAs in most deprived 10% nationally ,Income - Rank of proportion of LSOAs in most deprived 10% nationally ,Income scale,Rank of Income Scale
E06000001,Hartlepool,23509.14,15,0.228,5,0.3793,7,21084,128
E06000002,Middlesbrough,23950.79,9,0.251,1,0.5000,1,34959,84
E06000003,Redcar and Cleveland,20604.49,43,0.186,26,0.2614,23,25142,119
E06000004,Stockton-on-Tees,18291.93,72,0.164,44,0.2167,30,31750,100
E06000005,Darlington,18361.47,67,0.153,56,0.1846,34,16208,140
E06000006,Halton,20664.75,41,0.185,28,0.2911,15,23382,122
E06000007,Warrington,14196.32,110,0.109,103,0.0630,83,22389,126
E06000008,Blackburn with Darwen,23232.88,17,0.212,10,0.3297,10,31358,101
E06000009,Blackpool,25404.24,1,0.247,3,0.3617,8,34610,87
E06000010,"Kingston upon Hull, City of",23888.21,11,0.227,6,0.4217,4,58544,31
E06000011,East Riding of Yorkshire,12770.49,125,0.096,122,0.0476,96,32028,98
E06000012,North East Lincolnshire,20546.95,45,0.190,24,0.2830,16,30262,105
E06000013,North Lincolnshire,17832.42,78,0.133,79,0.0792,73,22508,125
E06000014,York,9675.34,141,0.072,140,0.0000,136,14712,141
E06000015,Derby,19161.24,56,0.158,48,0.1788,37,40078,74
E06000016,Leicester,23512.89,14,0.196,16,0.2552,25,67303,25
E06000017,Rutland,7831.38,148,0.056,149,0.0000,136,2089,149
E06000018,Nottingham,22803.53,19,0.199,15,0.3022,12,63228,27
E06000019,"Herefordshire, County of",14528.69,105,0.098,118,0.0172,116,18435,137
E06000020,Telford and Wrekin,19377.34,53,0.156,51,0.1759,38,26637,115
E06000021,Stoke-on-Trent,22407.23,23,0.190,23,0.2830,16,47776,59
E06000022,Bath and North East Somerset,10994.95,136,0.079,133,0.0087,126,14389,142
E06000023,"Bristol, City of",17466.94,81,0.141,70,0.1293,51,63150,28
E06000024,North Somerset,13176.10,122,0.101,116,0.0593,88,20999,129
E06000025,South Gloucestershire,10539.23,138,0.074,139,0.0000,136,19953,132
E06000026,Plymouth,18863.91,61,0.148,60,0.1242,54,38666,78
E06000027,Torbay,22329.60,24,0.174,34,0.1124,56,23159,123
E06000030,Swindon,14512.85,106,0.109,101,0.0606,85,23717,121
E06000031,Peterborough,20203.16,48,0.156,52,0.1071,58,29922,106
E06000032,Luton,20659.41,42,0.155,54,0.0744,75,33043,95
E06000033,Southend-on-Sea,18351.80,68,0.144,65,0.1215,55,25786,116
E06000034,Thurrock,17817.43,79,0.130,81,0.0510,93,21484,127
E06000035,Medway,17884.81,76,0.134,76,0.0859,69,36692,81
E06000036,Bracknell Forest,9679.85,140,0.068,142,0.0000,136,7991,147
E06000037,West Berkshire,9054.60,144,0.064,145,0.0000,136,10063,145
E06000038,Reading,15918.90,93,0.114,92,0.0309,108,18424,138
E06000039,Slough,18901.64,60,0.126,84,0.0000,136,18340,139
E06000040,Windsor and Maidenhead,7767.22,149,0.058,148,0.0000,136,8504,146
E06000041,Wokingham,5226.31,150,0.044,150,0.0000,136,7058,148
E06000042,Milton Keynes,15461.13,96,0.111,99,0.0526,91,29105,110
E06000043,Brighton and Hove,16683.40,84,0.123,85,0.0909,66,34773,85
E06000044,Portsmouth,17877.26,77,0.134,77,0.0960,64,28145,111
E06000045,Southampton,18059.66,74,0.135,74,0.0878,67,33175,94
E06000046,Isle of Wight,19498.99,50,0.138,72,0.0337,106,19078,133
E06000047,County Durham,20549.36,44,0.165,42,0.1265,52,85255,16
E06000049,Cheshire East,11031.50,135,0.083,129,0.0085,127,30843,103
E06000050,Cheshire West and Chester,13927.46,116,0.108,106,0.0802,72,36002,82
E06000051,Shropshire,14159.78,111,0.096,121,0.0155,119,29749,107
E06000052,Cornwall,18630.49,64,0.130,80,0.0491,94,71270,21
E06000053,Isles of Scilly,1920.00,151,0.029,151,0.0000,136,68,151
E06000054,Wiltshire,11292.46,132,0.078,134,0.0035,134,37853,79
E06000055,Bedford,15675.57,95,0.114,93,0.0388,103,18866,135
E06000056,Central Bedfordshire,10828.85,137,0.077,137,0.0000,136,20763,130
E06000057,Northumberland,16123.52,90,0.126,83,0.1066,59,39714,75
E06000058,"Bournemouth, Christchurch and Poole",15899.16,94,0.112,98,0.0343,104,43490,67
E06000059,Dorset,13014.31,123,0.088,127,0.0137,123,32590,96
E08000001,Bolton,21017.76,37,0.186,27,0.2768,20,52234,44
E08000002,Bury,18325.21,70,0.145,63,0.1000,62,27069,112
E08000003,Manchester,23740.67,12,0.219,8,0.3936,6,115859,5
E08000004,Oldham,21700.43,29,0.193,19,0.2624,22,44367,64
E08000005,Rochdale,22687.30,20,0.201,13,0.2985,13,42901,69
E08000006,Salford,21834.57,28,0.191,22,0.2600,24,46713,61
