Office for National Statistics,,,,,,,,,,Return to contents page
Crown Copyright 2017,,,,,,,,,,
Enquiries about these data can be sent by email to: hle@ons.gov.uk,,,,,,,,,,
,,,,,,,,,,
UTLA code,Local Authority,ILO employment rate (%)1,ILO unemployment rate (%)2,ILO economically inactive (%)1,Smoking prevalence (%)3,Proportion of adults defined as obese (%)4,"Alcohol-related admissions (per 100,000)7",Physically active adults (%)5,Proportion of adults eating 5-a day (%)6,"Preventable Mortality (deaths per 100,000)8"
,,,,,,,,,,
Year(s),,2015,2015,2015,2015,2013 to 2015,2014/15,2015,2015,2013-15
E06000001,Hartlepool,64.2,9.9,28.6,22.8,30.6,837.6,50.4,49.1,243.9
E06000002,Middlesbrough,63.4,12.0,27.8,20.8,26.3,930.0,51.3,42.1,275.7
E06000003,Redcar and Cleveland,67.8,8.0,26.0,17.2,30.3,694.6,50.5,51.1,225.6
E06000004,Stockton-on-Tees,73.6,6.7,21.1,18.4,28.8,808.2,47.8,54.4,216.4
E06000005,Darlington,72.5,6.4,22.4,17.9,25.6,708.5,56.5,51.3,211.3
E06000006,Halton,75.4,4.9,20.6,20.1,32.4,805.1,48.5,44.7,236.4
E06000007,Warrington,77.9,4.2,18.5,14.7,29.4,684.1,57.5,50.5,205.0
E06000008,Blackburn with Darwen,64.8,7.4,29.9,21.3,27.7,797.4,48.7,45.0,256.4
E06000009,Blackpool,72.1,6.8,22.6,25.3,30.2,1223.2,47.9,44.9,309.1
E06000010,"Kingston upon Hull, City of",66.9,8.4,26.9,26.8,30.6,818.7,54.9,48.8,272.7
E06000011,East Riding of Yorkshire,76.3,4.4,20.1,15.7,26.7,570.9,60.4,51.9,169.6
E06000012,North East Lincolnshire,71.0,8.3,22.8,22.8,29.7,657.2,54.0,49.5,234.6
E06000013,North Lincolnshire,71.7,4.0,25.2,21.0,27.7,669.9,56.8,45.4,206.1
E06000014,York,76.4,4.3,20.2,14.6,18.6,633.8,69.8,57.8,169.3
E06000015,Derby,73.2,7.6,20.6,18.7,27.2,774.2,58.3,52.4,218.4
E06000016,Leicester,62.6,9.1,30.9,20.1,23.9,704.9,50.0,44.3,241.0
E06000017,Rutland,76.7,4.3,20.0,11.6,20.4,608.6,65.3,62.8,139.3
E06000018,Nottingham,64.3,9.1,29.2,24.0,24.1,927.5,55.0,44.4,255.2
E06000019,"Herefordshire, County of",77.9,3.9,18.9,17.5,25.0,528.3,63.3,55.6,159.9
E06000020,Telford and Wrekin,73.3,5.7,22.4,18.2,31.1,667.8,53.8,48.6,202.5
E06000021,Stoke-on-Trent,68.2,7.6,26.1,18.8,29.9,991.3,48.2,47.5,249.8
E06000022,Bath and North East Somerset,76.5,4.0,20.2,13.7,19.2,538.7,69.5,59.1,143.9
E06000023,"Bristol, City of",76.3,5.1,19.6,18.1,19.4,775.9,62.2,53.3,206.2
E06000024,North Somerset,78.7,3.6,18.4,11.6,22.5,658.2,60.9,53.5,159.7
E06000025,South Gloucestershire,79.8,3.0,17.6,12.2,23.1,619.4,60.1,59.0,145.8
E06000026,Plymouth,73.7,6.2,21.3,20.6,24.8,671.0,56.2,51.4,204.1
E06000027,Torbay,75.1,5.1,20.6,17.0,24.1,769.6,53.6,49.5,181.1
E06000028,Bournemouth,71.5,3.1,26.1,18.8,21.8,745.7,52.9,60.5,201.4
E06000029,Poole,77.1,3.5,20.1,16.3,22.1,589.1,58.4,57.6,160.2
E06000030,Swindon,77.4,4.3,19.2,18.7,27.1,674.3,56.4,51.0,185.2
E06000031,Peterborough,74.5,5.4,21.1,17.7,27.8,678.9,54.7,48.0,211.8
E06000032,Luton,67.8,6.0,27.8,15.8,25.0,679.5,53.2,46.5,202.3
E06000033,Southend-on-Sea,75.6,5.7,19.6,18.8,26.4,600.1,56.3,49.6,199.6
E06000034,Thurrock,72.8,6.9,21.7,21.3,29.8,571.9,52.8,40.1,189.8
E06000035,Medway,69.8,9.1,23.1,22.3,29.4,434.4,53.3,47.4,211.2
E06000036,Bracknell Forest,83.3,2.4,14.7,16.7,22.5,459.3,63.8,55.8,140.3
E06000037,West Berkshire,83.1,3.3,13.9,14.1,24.9,423.8,62.6,57.7,150.1
E06000038,Reading,73.2,5.2,22.8,17.6,20.7,541.1,59.3,49.4,193.9
E06000039,Slough,74.8,4.4,21.7,18.3,24.1,625.4,49.8,45.3,215.5
E06000040,Windsor and Maidenhead,79.8,3.9,16.8,13.0,22.0,484.8,61.3,54.0,142.5
E06000041,Wokingham,78.7,2.7,19.0,9.5,19.9,379.4,63.9,60.1,130.5
E06000042,Milton Keynes,77.1,4.9,18.8,16.4,27.8,570.9,56.3,51.8,185.2
E06000043,Brighton and Hove,71.6,6.3,23.5,20.9,17.8,613.2,68.4,60.8,199.8
E06000044,Portsmouth,70.6,5.6,25.2,19.8,24.3,599.4,60.5,50.0,231.1
E06000045,Southampton,76.3,5.7,19.0,20.4,25.6,709.1,54.2,57.4,231.2
E06000046,Isle of Wight,72.2,4.8,23.9,16.4,26.1,486.8,55.9,60.8,167.7
E06000047,County Durham,67.3,7.7,26.9,19.0,28.1,745.9,57.3,53.4,226.1
E06000049,Cheshire East,74.9,3.4,22.4,12.5,23.3,598.3,60.1,55.2,170.7
E06000050,Cheshire West and Chester,73.6,4.2,23.2,13.1,24.0,566.4,60.4,55.2,188.2
E06000051,Shropshire,80.2,4.0,16.2,14.6,23.1,591.2,62.2,52.4,162.0
E06000052,Cornwall,74.3,5.2,21.4,18.2,26.9,724.0,54.7,62.1,173.4
E06000054,Wiltshire,79.2,3.3,17.9,14.3,25.9,512.7,60.0,59.1,147.1
E06000055,Bedford,78.9,5.6,16.3,17.1,23.1,537.4,59.8,52.9,170.3
E06000056,Central Bedfordshire,79.4,2.4,18.7,16.7,25.2,523.3,66.9,49.5,154.0
E06000057,Northumberland,74.0,5.6,21.4,16.6,26.3,821.6,55.2,56.6,194.5
E08000001,Bolton,70.5,6.8,24.3,18.5,25.2,693.1,55.2,44.6,227.6
