B.5g Balance of primary incomes by Local Authority1 ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,£ million
Region,LAU1 code,LA name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
North East,E06000047,County Durham,5013,5261,5430,5811,5970,6148,6215,6662,6877,7133,7323,7369,7301,7626,7631,7693,7897,8134,8366,8415
North East,E06000005,Darlington,1048,1060,1053,1139,1168,1230,1272,1316,1402,1461,1548,1520,1555,1590,1561,1613,1662,1675,1742,1737
North East,E06000001,Hartlepool,911,932,967,1024,1063,1085,1111,1165,1237,1302,1344,1411,1399,1442,1446,1442,1438,1492,1547,1524
North East,E06000002,Middlesbrough,1378,1344,1381,1463,1531,1532,1527,1622,1705,1785,1826,1811,1829,1871,1856,1930,1986,2099,2109,2113
North East,E06000057,Northumberland,3470,3621,3755,4073,4162,4156,4502,4697,4991,5273,5390,5649,5678,5673,5648,5779,5811,5907,6051,5933
North East,E06000003,Redcar and Cleveland,1363,1344,1362,1463,1536,1547,1570,1652,1711,1777,1801,1784,1787,1817,1781,1835,1883,1979,1984,1968
North East,E06000004,Stockton-on-Tees,1890,1941,2039,2187,2287,2360,2459,2624,2758,2850,2917,3033,3021,3098,3109,3103,3088,3214,3330,3284
North East,E08000037,Gateshead,1943,2037,2001,2148,2240,2333,2409,2528,2584,2680,2803,2806,2864,2963,2967,3019,3079,3227,3315,3372
North East,E08000021,Newcastle upon Tyne,2856,2987,2958,3146,3289,3443,3571,3745,3818,3981,4144,4139,4193,4381,4390,4530,4666,4928,5096,5245
North East,E08000022,North Tyneside,1944,2067,2042,2202,2298,2400,2486,2636,2668,2775,2887,2883,2938,3051,3038,3097,3148,3312,3384,3434
North East,E08000023,South Tyneside,1498,1567,1550,1660,1732,1776,1827,1920,1949,2015,2095,2086,2118,2182,2157,2204,2242,2355,2407,2445
North East,E08000024,Sunderland,2648,2675,2824,3004,3148,3241,3291,3426,3553,3704,3837,3815,3729,3867,3880,3965,4093,4138,4264,4394
North West,E06000008,Blackburn with Darwen,1227,1263,1319,1392,1413,1428,1471,1530,1643,1708,1772,1703,1677,1811,1742,1731,1745,1780,1861,1901
North West,E06000009,Blackpool,1475,1514,1468,1606,1644,1669,1606,1605,1638,1675,1782,1796,1794,1826,1857,1782,1776,1858,1951,2023
North West,E06000049,Cheshire East,4930,5134,5320,5595,5716,5940,6492,6858,7203,7445,7674,7762,7693,7715,7745,7840,8200,8687,9052,9154
North West,E06000050,Cheshire West and Chester,4106,4272,4455,4701,4825,4976,5478,5855,6147,6313,6507,6597,6532,6545,6399,6586,6722,6905,7101,6980
North West,E06000006,Halton,1088,1134,1182,1275,1338,1398,1445,1532,1629,1675,1779,1800,1825,1856,1866,1867,1917,1954,2061,2105
North West,E06000007,Warrington,2332,2467,2557,2737,2878,2961,3038,3290,3414,3567,3795,3818,3726,3835,3934,4062,4148,4297,4548,4725
North West,E07000026,Allerdale,967,1038,1041,1107,1190,1135,1219,1286,1337,1393,1485,1504,1510,1560,1554,1598,1657,1718,1799,1839
North West,E07000027,Barrow-in-Furness,713,765,768,817,874,833,878,932,959,993,1057,1077,1086,1117,1113,1126,1161,1203,1263,1293
North West,E07000028,Carlisle,1193,1279,1266,1322,1364,1387,1530,1670,1770,1831,1908,1873,1923,1971,1955,1997,2065,2091,2152,2172
North West,E07000029,Copeland,707,755,754,801,856,813,869,937,965,1012,1081,1101,1105,1149,1148,1165,1204,1238,1296,1318
