D.4 Property Income received by Local Authority1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,£ million
Region,LAU1 code,LA name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
North East,E06000047,County Durham,1009,1026,991,1130,1049,1065,970,1194,1252,1246,1447,1432,1090,1167,1135,1010,1004,1174,1207,1193
North East,E06000005,Darlington,203,202,182,236,212,228,222,233,260,265,330,315,246,260,250,259,252,252,259,251
North East,E06000001,Hartlepool,168,162,151,189,181,174,175,201,226,219,249,259,202,226,207,185,176,209,226,210
North East,E06000002,Middlesbrough,257,248,214,261,266,259,239,289,303,300,344,328,267,273,256,236,244,283,274,270
North East,E06000057,Northumberland,706,719,640,876,825,716,845,911,991,1059,1211,1306,1090,981,947,941,926,995,1067,1037
North East,E06000003,Redcar and Cleveland,250,242,209,255,262,256,238,289,302,299,341,325,264,268,250,230,237,275,266,260
North East,E06000004,Stockton-on-Tees,332,325,305,384,368,358,360,414,466,451,514,536,419,470,431,387,367,440,477,444
North East,E08000037,Gateshead,390,398,354,418,390,400,393,443,464,472,547,541,447,465,444,412,406,477,492,485
North East,E08000021,Newcastle upon Tyne,554,562,496,582,543,557,546,614,648,659,762,750,619,648,618,580,580,686,709,703
North East,E08000022,North Tyneside,379,391,348,415,392,402,395,445,467,476,551,546,451,469,446,415,411,482,494,487
North East,E08000023,South Tyneside,309,316,281,333,312,318,309,346,360,363,417,410,336,348,328,305,301,353,362,357
North East,E08000024,Sunderland,520,494,481,568,548,555,535,592,623,613,709,685,516,527,508,460,469,493,531,491
North West,E06000008,Blackburn with Darwen,234,242,246,299,277,274,278,303,346,331,382,348,283,326,293,266,269,282,309,301
North West,E06000009,Blackpool,356,347,276,381,362,351,313,309,319,291,362,373,307,315,284,257,249,272,300,287
North West,E06000049,Cheshire East,1146,1237,1171,1293,1145,1084,1242,1343,1517,1516,1716,1825,1497,1418,1403,1381,1479,1746,1935,1771
North West,E06000050,Cheshire West and Chester,889,957,908,1008,895,834,978,1055,1194,1183,1350,1432,1168,1110,1091,1040,1039,1146,1240,1158
North West,E06000006,Halton,200,201,189,223,217,225,215,246,282,257,310,310,263,263,263,235,233,250,268,260
North West,E06000007,Warrington,473,505,457,547,504,498,490,605,665,642,753,769,615,604,591,571,595,672,795,767
North West,E07000026,Allerdale,190,195,186,222,214,175,214,266,285,271,315,321,250,261,256,234,233,260,276,256
North West,E07000027,Barrow-in-Furness,145,148,143,171,164,133,160,199,212,200,230,233,181,188,183,166,165,182,193,178
North West,E07000028,Carlisle,308,323,298,330,318,298,323,378,412,411,478,478,377,387,384,365,356,385,419,386
North West,E07000029,Copeland,142,144,138,164,158,129,157,195,210,200,232,236,183,192,187,171,170,188,199,183
North West,E07000030,Eden,146,156,145,162,157,147,160,186,202,200,233,234,185,190,187,178,174,187,204,187
North West,E07000031,South Lakeland,304,322,298,334,323,300,324,376,407,402,466,466,368,376,370,350,341,369,402,369
North West,E08000001,Bolton,600,618,589,668,617,618,597,683,724,732,819,820,652,677,641,610,596,659,700,669
North West,E08000002,Bury,410,422,404,457,421,421,406,462,490,494,552,549,436,453,427,406,396,444,480,458
North West,E08000003,Manchester,767,777,724,838,777,828,821,879,992,984,1149,1136,923,991,999,902,933,1076,1222,1222
North West,E08000004,Oldham ,499,512,487,552,509,508,489,559,593,598,667,666,529,548,519,492,482,541,588,564
