D.61/D.62 Imputed social contributions/Social benefits received by Local Authority1 ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,£ million
Region,LAU1 code,LA name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
North East,E06000047,County Durham,1354,1390,1448,1512,1581,1600,1692,1772,1827,1951,2082,2219,2414,2565,2594,2709,2721,2763,2871,2919
North East,E06000005,Darlington,262,268,278,302,347,354,372,387,390,412,438,460,503,518,522,534,549,556,586,599
North East,E06000001,Hartlepool,230,233,242,251,260,281,299,312,323,343,358,372,399,430,444,464,469,477,491,496
North East,E06000002,Middlesbrough,405,411,428,453,472,472,504,532,550,583,609,640,692,717,745,788,785,798,820,831
North East,E06000057,Northumberland,854,874,923,955,1037,1071,1190,1196,1195,1276,1395,1498,1664,1744,1817,1919,1992,1953,2021,2071
North East,E06000003,Redcar and Cleveland,395,401,418,444,465,466,502,532,548,580,604,633,685,705,728,766,762,775,796,803
North East,E06000004,Stockton-on-Tees,455,466,487,510,530,578,617,642,666,707,739,770,829,893,925,967,979,1001,1035,1047
North East,E08000037,Gateshead,532,539,554,567,598,615,646,678,702,738,777,815,882,928,953,1009,1009,994,1039,1056
North East,E08000021,Newcastle upon Tyne,755,762,777,791,833,857,897,941,981,1030,1083,1129,1222,1292,1328,1420,1442,1428,1497,1531
North East,E08000022,North Tyneside,517,530,545,564,600,619,649,681,707,744,783,823,889,935,957,1015,1020,1005,1044,1061
North East,E08000023,South Tyneside,421,429,441,453,478,489,508,530,544,567,593,618,664,693,705,747,749,736,765,778
North East,E08000024,Sunderland,773,781,785,845,870,880,942,984,1012,1065,1123,1181,1282,1319,1345,1427,1440,1396,1438,1455
North West,E06000008,Blackburn with Darwen,370,380,400,392,399,413,457,484,515,546,554,584,640,666,675,698,698,696,706,704
North West,E06000009,Blackpool,411,414,424,477,501,508,532,555,572,595,633,682,752,784,789,820,826,816,832,830
North West,E06000049,Cheshire East,911,940,986,1044,1091,1197,1309,1343,1412,1536,1627,1733,1896,2000,2059,2199,2293,2267,2377,2442
North West,E06000050,Cheshire West and Chester,807,830,867,920,960,1057,1157,1189,1246,1352,1431,1536,1681,1774,1833,1922,1956,1998,2046,2073
North West,E06000006,Halton,321,321,327,357,377,389,412,436,446,473,509,550,608,627,645,671,679,671,680,679
North West,E06000007,Warrington,437,448,466,531,557,576,613,641,657,704,763,814,899,927,942,1006,984,1005,1048,1063
North West,E07000026,Allerdale,245,251,263,287,293,309,346,368,381,406,437,452,470,494,510,551,539,528,551,562
North West,E07000027,Barrow-in-Furness,187,190,203,221,225,235,260,275,283,300,319,328,340,356,365,392,381,371,386,391
North West,E07000028,Carlisle,264,271,291,285,326,341,379,394,422,459,477,509,559,594,599,632,663,661,689,704
North West,E07000029,Copeland,182,186,195,213,217,227,254,271,280,300,322,333,344,362,374,402,392,382,397,401
North West,E07000030,Eden,126,131,141,140,162,168,188,194,206,223,232,249,275,293,292,309,323,322,335,342
North West,E07000031,South Lakeland,261,270,291,288,332,343,380,391,416,449,466,496,545,579,578,606,636,633,661,675
North West,E08000001,Bolton,621,635,659,687,737,784,846,883,908,969,1030,1102,1214,1272,1301,1389,1405,1383,1435,1453
North West,E08000002,Bury,438,446,464,483,515,539,575,598,615,654,694,747,826,862,880,938,948,952,969,968
North West,E08000003,Manchester,1138,1146,1156,1219,1266,1330,1377,1430,1461,1513,1568,1687,1848,1933,1979,2054,2084,2054,2122,2127
